format,contributor,geographic_subject_local,content_type,temporal_subject_local,physical_collection,title,abstract,identifier,genre_form_local,rights_statement,date_created,date_digital_creation,Image,description,description.1,creator
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Womack Reception, number 21",Dr. James Womack and another unnamed man are shown in this image with a portrait of Dr. Mark Francis as the backdrop.,0607,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-07-15,2022-12-21T17:58:13.637000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/390/pages/page_0/files/CVM_0607.jpg,Written on photograph: Roll 1 frame 17,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Stevenson Center Pet Residents, number 087","Feline resident ""Methuselah,"" also known as brindle, arrived at the Stevenson Companion Animal Life-Care Center in 1997.",0362-14,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,2022-12-21T16:42:35.738000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/88/pages/page_0/files/CVM_0362-14.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['Texas', 'College Station']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Stevenson Center Pet Residents, number 092","""Wei-Linn"" a black-mustached parakeet who was the first bird to reside of Stevenson Companion Animal Life-Care Center.",0362-19,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,2022-12-21T16:44:11.888000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/93/pages/page_0/files/CVM_0362-19.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1990s,College of Veterinary Medicine Image Collection,J. D. McCrady,"Dr. J. D. McCrady, sits for a faculty picture. Dr. McCrady was professor in physiology and pharmacology and served many years on the faculty, leading in numerous initiatives of the College.","['0116', '0451']","['Portraits', 'Photographs']",In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,Between 1990 and 1995,2022-12-21T17:09:16.628000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/244/pages/page_0/files/CVM_0451.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['Texas', 'College Station']",StillImage,,College of Veterinary Medicine Image Collection,Syed A. Naqi,"Dr. Syed A. Naqi in a faculty photograph. Dr. Syed A. Naqi in listed in the 1979-1980 Faculty Directory with the following information. ""Associate Professor of Veterinary Microbiology & Parasitology; B.V.Sc. (D.V.M.)-Osmania U. (India)1961; M.S. 1967 and Ph.D. 1969 in Veterinary Microbiology and Immunology at Texas A&M ; Diplomate, A.C.V.M.""",0459,"['Portraits', 'Photographs']",In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,,2022-12-21T17:11:57.049000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/252/pages/page_0/files/CVM_0459.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Stevenson Center Pet Residents, number 063","Feline resident ""Jessica"" who arrived at the Stevenson Companion Animal Life-Care Center in 1998.",0361-27,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,2022-12-21T16:34:56.671000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/64/pages/page_0/files/CVM_0361-27.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Stevenson Center Pet Residents, number 111","Student resident of the Stevenson Companion Animal Life-Care Center, Kathleen Harris bathes ""Orphan Annie.""",0363-14,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,2022-12-21T15:43:39.681000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/112/pages/page_0/files/CVM_0363-14.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Stevenson Center Pet Residents, number 119","Student resident of the Stevenson Companion Animal Life-Care Center, Kathleen Harris bathes ""Orphan Annie.""",0364-01,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,2022-12-21T15:46:10.511000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/120/pages/page_0/files/CVM_0364-1.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Womack Reception, number 13",Dr. and Mrs. Womack open a gift.,0599,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-07-15,2022-12-21T17:55:33.897000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/382/pages/page_0/files/CVM_0599.jpg,Written on photograph: -Roll 1 frame 21,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Womack Reception, number 05","Dr. Richard H. Adams (left), Dr. James Womack (right).",0591,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-07-15,2022-12-21T17:52:52.470000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/374/pages/page_0/files/CVM_0591.jpg,Written on photograph: Roll 1 frame 5,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1970s,College of Veterinary Medicine Image Collection,Dr. Charlton,Dr. Charlton using a microscope.,0425,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1970-03,2022-12-21T17:00:34.728000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/218/pages/page_0/files/CVM_0425.jpg,Written on photograph: Charlton 3-70,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1970s,College of Veterinary Medicine Image Collection,"Dr. Chester A. Gleiser, number 2",Gleiser looking at slides. Dr. Chester A. Gleiser was a retired small-animal pathologist and laboratory-animal veterinarian.,0431,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1970-03,2022-12-21T17:02:32.656000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/224/pages/page_0/files/CVM_0431.jpg,Written on photograph: Gleiser 3-70,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,,College of Veterinary Medicine Image Collection,"Dean Adams, number 07",Richard Adams- Images taken during a conversation or interview.,0443,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,,2022-12-21T17:06:34.562000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/236/pages/page_0/files/CVM_0443.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['Texas', 'College Station']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Stevenson Center Pet Residents, number 004",Two canine residents of the Stevenson Companion Animal Life-Care Center; (Front to back) Chip (1998) and Lovey who arrived at the center in 1998.,0360-04,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,2022-12-21T15:38:18.899000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/5/pages/page_0/files/CVM_0360-4.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Womack Reception, number 44",Family of Dr. James Womack on the occasion of his reception at the College of Veterinary Medicine.,0630,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-07-15,2022-12-21T18:06:00.168000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/413/pages/page_0/files/CVM_0630.jpg,Written on photograph: Roll 2 frame 9,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Stevenson Center Pet Residents, number 076","Feline resident ""Bubba Kitty"" who arrived at the Stevenson Companion Animal Life-Care Center in 1997.",0362-03,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,2022-12-21T16:39:05.087000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/77/pages/page_0/files/CVM_0362-3.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['Texas', 'College Station']",StillImage,1990s,College of Veterinary Medicine Image Collection,Stevenson Center Pet Residents 103,"Student resident of the Stevenson Companion Animal Life-Care Center, Kathleen Harris bathes ""Orphan Annie.""",0363-06,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,2022-12-21T15:41:08.562000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/104/pages/page_0/files/CVM_0363-6.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['Texas', 'College Station']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Playter Retirement, number 33",Six people standing together. Left to right: Joseph R. Joyce; unknown; unknown; Dr. Playter; Dr. Donald Wiersig; Mrs. Donald Wiersig.,0542,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-06,2022-12-21T17:39:09.936000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/333/pages/page_0/files/CVM_0542.jpg,,Photograph taken during June 1999.,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Stevenson Center Pet Residents, number 001","Four canine residents of the Stevenson Companion Animal Life-Care Center; (left to right) Lovey who arrived at the center in 1998, Orphan Annie (1997), Chip (1998), and Algernon (1997).",0360-01,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,2022-12-21T15:37:22.313000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/2/pages/page_0/files/CVM_0360-1.jpg,,,
reformatted digital,"['Texas A & M University. College of Veterinary Medicine & Biomedical Sciences', 'Texas A & M University Graphic Services']","['Texas', 'College Station']",StillImage,1980s,College of Veterinary Medicine Image Collection,"Buildings on Campus, number 2",A Texas A&M University Academic Building viewed through an arched walkway.,0705,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1988,2022-12-21T18:31:21.359000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/487/pages/page_0/files/CVM_0705.jpg,Written on photograph: Copyright 1988. File 88-055 Neg. 19,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['Texas', 'College Station']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Stevenson Center Pet Residents, number 052","Feline resident ""Jessica"" who arrived at the Stevenson Companion Animal Life-Care Center in 1998.",0361-16,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,2022-12-21T16:31:25.648000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/53/pages/page_0/files/CVM_0361-16.jpg,,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,,College of Veterinary Medicine Image Collection,"Fred Jaggi, number 4",Closer view of Dr. Jaggi standing in front of an open cabinet with right arm on door. Magnify tool shown in image left.,0409,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,,2022-12-21T16:54:52.740000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/201/pages/page_0/files/CVM_0409.jpg,Written on photograph: Dr. Fred Jaggi- Public Health until retirement,,
reformatted digital,Texas A & M University. College of Veterinary Medicine & Biomedical Sciences,"['College Station', 'Texas']",StillImage,1990s,College of Veterinary Medicine Image Collection,"Stevenson Center Pet Residents, number 100","Student resident of the Stevenson Companion Animal Life-Care Center, Kathleen Harris bathes ""Orphan Annie.""",0363-03,Photographs,In copyright - educational use permitted; see http://rightsstatements.org/vocab/InC-EDU/1.0/ for more information,1999-09-14,2022-12-21T15:40:11.841000+00:00,https://api.library.tamu.edu/fcrepo/rest/4a/7d/ff/c4/4a7dffc4-04ec-4e1f-8f9e-ac661b9f328d/cvm-batch-2_objects/101/pages/page_0/files/CVM_0363-3.jpg,,,
