genre_form,identifier,access_rights,date_digital_creation,digital_publisher,description,date_created,format,extent,content_type,medium,rights_details,subject,title,Image,geographic_subject,classification
"['art reproduction', 'Patterned Paste papers', 'Laid lines']",12405,Openly accessible,2021-06-16T14:27:44.978000+00:00,Texas A & M University. Libraries,Distribution of fibers; Surface application; Laid; Paste; P4.D6.F7; Candy cane-like stripe pattern; laid paper; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.G.3; Not signed. Not stamped. Not stickered. Not embossed.; Creased; pinholes; areas of abrasion and stain on recto; 2 pieces joined on verso,Circa 1740,reformatted digital,1 sheet of red and white paste paper; 11.75 x 13.75 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12405,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/70/pages/page_0/files/12405.jpg,,
"['Laid lines', 'art reproduction', 'endpapers']",10293,Openly accessible,2021-06-16T14:14:58.253000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Laid; P1.D4.F3; Previously used as an endpaper in a bookbinding; [written in pencil on recto]: ""Henry Pearson #3.00""; Photograph taken with the aid of a light table. The false image color more accurately captures the details of the laid paper.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; Not signed. Not stamped.; Discolored; edge torn; holes; creased; fragile",19th century [?],reformatted digital,1 sheet of white laid paper; 4.00 x 6.75 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #10293,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/14/pages/page_0/files/10293.jpg,,P1.D4.F3.A
leather bindings (bookbindings),10292B,Openly accessible,2021-06-16T14:14:44.712000+00:00,Texas A & M University. Libraries,Tooled rectangles with flowers at each corner; Not signed. Not stamped; Edges deteriorating; discolored; fragile,19th century [?],reformatted digital,1 brown tooled leather bookcover; 4.75 x 7.50 in.,StillImage,"['Leather', 'Paper']","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Leather bindings (Bookbinding),Berger-Cloonan #10292B,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/13/pages/page_0/files/10292-002.jpg,,P1.D4.F3.A
"['art reproduction', 'Laid lines', 'Printed papers']",12419,Openly accessible,2021-06-16T14:30:51.337000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F7; Rare book sheet of blue paper with copper plate engraving in black ink on recto and verso (in French and Italian); hinged cream mat opening framed with thin black line and thicker red line; [printed in black ink on recto]: ""XIV. PAOLO UCCELLO FIROENTINO N. 1589. M. 1472. [with image of bearded person with hat]""; ] [written in pencil on recto of blue paper]: ""6 717"";  [written in pencil on verso of hinged cream mat]: ""1200""; Contained in thin clear plastic sleeve; contained in hinged cream mat with cut out for viewing; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E;  VIII.H; Not signed. Not stamped. Not stickered. Not embossed.; Blue sheet is affixed to cream mat with 2 pieces of brown tape",Early 18th century,reformatted digital,1 sheet of blue laid printed paper; 12.75 x 5.75 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12419,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/83/pages/page_0/files/12419.jpg,,
Watermarks,12417,Openly accessible,2021-06-16T14:30:37.715000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Watermarked; P4.D6.F7; Argzb (?) watermark at center; Exodus printed in black, blue and red ink on recto and verso; Contained in clear plastic sleeve with white cardboard backing for protection; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.H; Not signed. Not stamped. Not stickered. Not embossed.; Stained and discolored on recto and verso; small binding holes",15th century [?],reformatted digital,2 pages of white watermarked paper; 9.00 x 12.75 in.,"['StillImage', 'Text']",Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/","['Watermarks', 'Decorative paper']",Berger-Cloonan #12417,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/82/pages/page_0/files/12417a.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/82/pages/page_1/files/12417b.jpg,,P4.D6.F7.A
"['Laid lines', 'Deckled edges', 'Watermarks']",12383,Openly accessible,2021-06-16T14:24:06.896000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Deckled; Laid; Watermarked; P4.D6.F7; Laid paper with series of 3 circles watermarked at the top of sheet; ""ORDINI SOPRA I CAMBI"" printed in Italian in black ink on recto; deckled; Inscription on original piece: ""5000""; [written in brown ink on verso]: ""A.  B4.""; Photograph taken with the aid of a light table. The false image color more accurately captures the details of the laid paper and associated watermark(s).; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.C; II.E; II.H; Not signed. Not stamped. Not stickered. Not embossed.; Creased and folded; discolored and stained edge on recto and verso; stored in white folder",1693,reformatted digital,1 sheet of black and cream laid watermarked paper; 12.00 x 17.00 in.,"['StillImage', 'Text']",Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12383,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/54/pages/page_0/files/12383.jpg,,
"['art reproduction', 'Gold gilt papers']","['12367', '5420']",Openly accessible,2021-06-16T14:21:34.292000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F6; Overall pattern of floral design; gold over carmine paste; 4 borders; laid paper; Contained in BASSENGE folder; Floating on sheet of white, semi-glossy poster board; Part of book cover?; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Bassenge Kunst und Buchauktion (Auction 103, Lot #5420) in 07/2011.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed. Not stamped. Not stickered. Not embossed.; Small tears at bottom center",18th century,reformatted digital,"1 sheet of red, gold and cream printed paper; 13.75 x 16.00 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12367,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/43/pages/page_0/files/12367.jpg,,
"['Laid lines', 'art reproduction', 'Watermarks']",12382,Openly accessible,2021-06-16T14:23:53.283000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Laid; Watermarked; P4.D6.F7; Laid paper with 3 watermarks: E V C; [filigree]; crowned circle with figure holding an instrument at center with script around the circle; paper produced earlier than date (1777) written on verso; Inscription on original piece: ""from Karli Frigge""; [written in brown ink on recto]: ""Papierem van 4 Ship Aurora 17 77.""; Contained in a white folder marked in pencil:  ""18th century Printed etc.""; Karli Frigge donated the sheet to Sidney E. Berger and Michele V. Cloonan.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; II.H; Not signed. Not stamped. Not stickered. Not embossed.; Torn with 2 corners missing large chunks; creased; wrinkled; stained and discolored on recto and verso; worn",1777,reformatted digital,1 sheet of black and cream laid watermarked paper; 12.75 x 16.00 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12382,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/53/pages/page_0/files/12382.jpg,,
"['Gold gilt papers', 'art reproduction']","['5437', '12317']",Openly accessible,2021-06-16T14:21:20.619000+00:00,Texas A & M University. Libraries,"Surface application; Printed; P4.D6.F2; Overall pattern of floral geometric design; gold  over orange background; backed; book ends; Contained in clear plastic sleeve; Removed from folder for Lot #5435 BASSENGE AUTION #98; Not in Haemmerle?; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Bassenge Kunst und Buchauktion (Auction 98, Lot #5437) in 12/2011.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1.d.1; Not signed. Not stamped. Not stickered. Not embossed.; 2 separate pieces form a sheet; torn down the middle with loss at tear top to bottom",1750 [?],reformatted digital,"1 full sheet in 2 parts of orange, gold and off-white Dutch gilt paper; 13.75 x 16.75 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12317,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/42/pages/page_0/files/12317.jpg,,
"['block printing (relief printing process)', 'Laid lines', 'art reproduction', 'decorated papers', 'Woodblock-printed papers']",9912,Openly accessible,2021-06-16T14:14:03.925000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Printed; W1.D3.F1; Front and back book covers with images  of market scene with box making; banners and curtains with kanji; framed with bamboo; three pieces mounted on laid cream paper joined on verso with tape; corner of missing middle section remains; inscription on piece: "".96""; Two Japanese woodblocks contained between two sheets of folder paper, which is contained in a plastic sleeve;[written in pencil on recto of folder paper]: ""19th c Japanese book Woodblock printed covers""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.h; Not signed. Not stamped.; Creased; torn; middle section torn away and missing; small holes; small sections separating from backing; backing stained and discolored",19th century,reformatted digital,"1 sheet of blue, red, green, brown, black and cream woodblock printed paper; 14.00 x 6.75 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Block printing,Berger-Cloonan #9912,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/9/pages/page_0/files/09912.jpg,Japan,
"['block printing (relief printing process)', 'Laid lines', 'art reproduction', 'decorated papers', 'Woodblock-printed papers']",9911,Openly accessible,2021-06-16T14:13:50.256000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Printed; W1.D3.F1; Front and back book covers with images  of harvesting preparations at home; red banner with kanji; framed with bamboo; two pieces mounted on laid cream paper joined on verso with tape; Two Japanese woodblocks contained between two sheets of folder paper, which is contained in a plastic sleeve; [written in pencil on recto of folder paper] ""19th c Japanese book Woodblock printed covers""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.h; Not signed. Not stamped.; Creased; torn; small holes; small sections separating from backing; backing stained and discolored",19th century,reformatted digital,"1 sheet of blue, red, green, brown, black and cream woodblock printed paper; 9.25 x 6.75 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Block printing,Berger-Cloonan #9911,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/8/pages/page_0/files/09911.jpg,Japan,
"['art reproduction', 'Brushed paste papers']",11781,Openly accessible,2021-06-16T14:17:41.681000+00:00,Texas A & M University. Libraries,"Surface application; Paste; P2.D2.F7; Semi-glossy finish; binding edge; [written in pencil on verso]: ""c 1822 FRENCH""; Contained in an open clear plastic sleeve; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.G.2.a; Not signed. Not stamped.; Abrasions on recto; torn; curled, worn and torn binding edge with loose threads; creased; stained on verso",Circa 1822 [?],reformatted digital,1 sheet of blue and cream paste paper; 5.75 x 8.75 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/","['Block printing', 'Decorative paper']",Berger-Cloonan #11781,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/26/pages/page_0/files/11781.jpg,,P2.D2.F7.A
"['endpapers', 'Stormont marbled papers', 'art reproduction']",10295,Openly accessible,2021-06-16T14:15:25.225000+00:00,Texas A & M University. Libraries,"Surface application; Marbled; P1.D4.F3; Previously used as an endpaper in a bookbinding; inscription on piece: ""78c""; [written in black ink on verso]: ""Robert Smith 10 Grays Hall""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.g; Not signed. Not stamped.; Discolored; fragile",19th century [?],reformatted digital,"1 sheet of pink, blue and white marbled paper; 5.00 x 8.00 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Marbled papers,Berger-Cloonan #10295,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/16/pages/page_0/files/10295.jpg,,P1.D4.F3.A
"['art reproduction', 'Patterned Paste papers']",12402,Openly accessible,2021-06-16T14:27:04.298000+00:00,Texas A & M University. Libraries,Surface application; Paste; P4.D6.F7; Brush or fan design; See Haemmerle p. 123; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.G.3; Not signed. Not stamped. Not stickered. Not embossed.; Creased; stained and discolored on verso,Circa 1740,reformatted digital,1 sheet of brown and cream paste paper; 13.50 x 16.75 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12402,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/67/pages/page_0/files/12402.jpg,,
"['art reproduction', 'Patterned Paste papers']",12401,Openly accessible,2021-06-16T14:26:50.710000+00:00,Texas A & M University. Libraries,Surface application; Paste; P4.D6.F7; Brush or fan design; See Haemmerle p. 123; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.G.3; Not signed. Not stamped. Not stickered. Not embossed.; Creased; folded; small holes; small ink on verso,Circa 1740,reformatted digital,1 sheet of brown and cream paste paper; 13.50 x 16.75 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12401,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/66/pages/page_0/files/12401.jpg,,
"['Non-patterned Paste papers', 'art reproduction']",12398,Openly accessible,2021-06-16T14:26:09.880000+00:00,Texas A & M University. Libraries,Surface application; Paste; P4.D6.F7; See Haemmerle p. 123; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.G.2; Not signed. Not stamped. Not stickered. Not embossed.; Torn; creased; folded; stained on verso; 2 pieces joined on verso,Circa 1740,reformatted digital,"1 sheet of light blue, dark blue and cream paste paper; 14.00 x 21.00 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12398,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/63/pages/page_0/files/12398.jpg,,
"['Block-printed papers', 'art reproduction']",12414,Openly accessible,2021-06-16T14:29:55.206000+00:00,Texas A & M University. Libraries,Surface application; Printed; P4.D6.F7; Overall small striped geometric pattern; registration slightly off; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1; Not signed. Not stamped. Not stickered. Not embossed.; Center crease; faint red marks on recto,Late 18th century,reformatted digital,1 sheet of blue and cream block-printed paper; 19.00 x 25.50 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12414,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/79/pages/page_0/files/12414.jpg,,
"['endpapers', 'Non-patterned Paste papers', 'Laid lines', 'art reproduction']",12380,Openly accessible,2021-06-16T14:23:25.971000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Paste; P4.D6.F7; Previously used as an endpaper in a bookbinding; abstract design; laid paper backing on verso on 1 side; inscription on piece: ""Gift of Bernard Middleton c. 1993""; Contained in a white folder marked in pencil: ""18th century Printed etc.""; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated the sheet to Sidney E. Berger and Michele V. Cloonan in 1993.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.G.2; Not signed. Not stamped. Not stickered. Not embossed.; Creased and folded at center for book; torn at center fold at top and bottom; edge tears; stained and discolored on verso; binding discolored and torn.",1740,reformatted digital,"1 sheet of red, blue, yellow and cream paste paper; 18.00 x 14.00 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12380,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/51/pages/page_0/files/12380.jpg,,
"['art reproduction', 'Zebra marbled papers']",10291,Openly accessible,2021-06-16T14:14:17.560000+00:00,Texas A & M University. Libraries,Surface application; Marbled; P1.D4.F3; Half bound with marbled paste-down; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.i; Not signed. Not stamped.; Cover cracked and paste-down creased; edges deteriorating; discolored; fragile,19th century [?],reformatted digital,"1 blue, red, yellow, black and white marbled paper and brown leather book cover;  4.50 x 7.25 in.",StillImage,"['Paper', 'Leather']","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Marbled papers,Berger-Cloonan #10291,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/11/pages/page_0/files/10291.jpg,,P1.D4.F3.A
leather bindings (bookbindings),10292A,Openly accessible,2021-06-16T14:14:31.090000+00:00,Texas A & M University. Libraries,Tooled rectangles with flowers at each corner; Not signed. Not stamped; Edges deteriorating; discolored; fragile,19th century [?],reformatted digital,1 brown tooled leather bookcover with zebra marbled paper ; physical dimensions unknown,StillImage,"['Leather', 'Paper']","No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Leather bindings (Bookbinding),Berger-Cloonan #10292A,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/12/pages/page_0/files/10292-001.jpg,,P1.D4.F3.A
"['Hair vein marbled papers', 'art reproduction']",11785,Openly accessible,2021-06-16T14:18:22.380000+00:00,Texas A & M University. Libraries,"Surface application; Marbled; P2.D2.F7; inscription on piece: ""UK   c 1913""; Contained in an open clear plastic sleeve; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.c; Not signed. Not stamped.; Abrasions on recto; yellowed edges on verso; stained on verso",Circa 1913,reformatted digital,"1 sheet of red, bronze, pink and cream marbled paper; 7.50 x 10.50 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Marbled papers,Berger-Cloonan #11785,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/29/pages/page_0/files/11785.jpg,,P2.D2.F7.A
"['Spanish random marbled papers', 'art reproduction']",11784,Openly accessible,2021-06-16T14:18:08.802000+00:00,Texas A & M University. Libraries,"Surface application; Marbled; P2.D2.F7; Metallic gold accents; [written in pencil on verso]: ""UK   1880s""; Contained in an open clear plastic sleeve; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.e; Not signed. Not stamped.; Slightly creased; curled",1880s,reformatted digital,"1 sheet of red, gold, white and cream marbled paper; 7.00 x 10.50 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Marbled papers,Berger-Cloonan #11784,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/28/pages/page_0/files/11784.jpg,,P2.D2.F7.A
"['art reproduction', 'Gold gilt papers', 'Laid lines']","['12314', '5432']",Openly accessible,2021-06-16T14:20:53.149000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F2; Overall pattern of floral design in diamond; gold over green paste; laid paper; [stamped in block on recto]: ""G. N. RENNER & ABEL""; Contained in BASSENGE folder; Not in Haemmerle?; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Bassenge Kunst und Buchauktion (Auction 98, Lot #5432) in 12/2011; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed. Stamped.",Circa 1775,reformatted digital,"1 sheet of green, gold and off-white Dutch gilt paper; 13.25 x 15.50 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12314,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/40/pages/page_0/files/12314.jpg,,
"['Block-printed papers', 'art reproduction']",12411,Openly accessible,2021-06-16T14:29:14.168000+00:00,Texas A & M University. Libraries,"Surface application; Printed; P4.D6.F7; Striped pattern with thick and thin stripes; light weight wove paper; inscription on piece: ""1 leaf, 10 [euros] no 17""; Contained in white folded folder; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1; Not signed. Not stamped. Not stickered. Not embossed.; Small edge tears; creased; discolored edges on verso",Late 18th century,reformatted digital,1 sheet of red and cream block-printed paper; 15.00 x 20.00 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12411,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/76/pages/page_0/files/12411.jpg,Italy,
"['Block-printed papers', 'art reproduction']",12410,Openly accessible,2021-06-16T14:29:00.487000+00:00,Texas A & M University. Libraries,"Surface application; Printed; P4.D6.F7; Light weight paper with high gloss varnish finish; overall delicate floral spray pattern; inscription on piece: ""1 leaf, 15 [euros], no 18""; Contained in white folded folder; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1; Not signed. Not stamped. Not stickered. Not embossed.; Torn edges; creased",Late 18th century,reformatted digital,"1 sheet of yellow, black and cream block-printed paper; 14.75 x 17.50 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12410,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/75/pages/page_0/files/12410.jpg,Italy,
"['Printed papers', 'art reproduction']",12415,Openly accessible,2021-06-16T14:30:09.146000+00:00,Texas A & M University. Libraries,"Surface application; Printed; P4.D6.F7; Pastoral landscape scene with 3 genteel ladies and a servant with a brace of birds; hand colored or tipped on wove paper; mounted on plain cream backing; inscription on piece: ""A. Charpentien""; Contained in stiff, clear plastic sleeve; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H; Signed. Not stamped. Not stickered. Not embossed.; Mounting paper discolored and stained on recto with dark remnants of further mounting on verso; wrinkled",Early 19th century,reformatted digital,"1 sheet of blue, yellow, pink, red, brown, green, white, black and tan printed paper; 10.25 x 7.00 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12415,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/80/pages/page_0/files/12415.jpg,,
"['Block-printed papers', 'art reproduction']",11771,Openly accessible,2021-06-16T14:17:14.226000+00:00,Texas A & M University. Libraries,"Surface application; Printed; P2.D2.F7; Overall decorative geometric design;  affixed at one edge to a plain sheet of brown paper; [written in pencil on verso of brown sheet]: ""ENGLISH WARD, LOCK BOWDON 1893""; Contained in an open clear plastic sleeve; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1; Not signed. Not stamped.; Edge tears; yellowed edges on recto and verso; spot stains on recto",1893,reformatted digital,1 sheet of light gray and cream printed paper; 4.50 x 6.75 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/","['Decorative paper', 'Block printing']",Berger-Cloonan #11771,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/24/pages/page_0/files/11771.jpg,,P2.D2.F7.A
