genre_form,identifier,access_rights,date_digital_creation,digital_publisher,description,date_created,format,extent,content_type,medium,rights_details,subject,title,Image,geographic_subject,classification
"['art reproduction', 'Non-patterned Paste papers']",12397,Openly accessible,2021-06-16T14:25:56.253000+00:00,Texas A & M University. Libraries,Surface application; Paste; P4.D6.F7; See Haemmerle p. 123; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.G.2; Not signed. Not stamped. Not stickered. Not embossed.; Torn; creased; pinholes; folded; discolored and stained on verso,Circa 1740,reformatted digital,"1 sheet of green, brown and cream paste paper; 14.00 x 17.50 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12397,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/62/pages/page_0/files/12397.jpg,,
"['Block-printed papers', 'art reproduction']",10411,Openly accessible,2021-06-16T14:16:46.945000+00:00,Texas A & M University. Libraries,"Surface application; Printed; P1.D5.F5; Large flowers and birds; inscription on piece: ""Manuscript cookbook 50-- probably 1850s""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H.1; Not signed. Not stamped.; Edge cut unevenly; tape along top edge; abrasion",1850s,reformatted digital,"1 sheet of green, pink, yellow, teal blue, dark blue and white printed paper; 9.00 x 12.00 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Block printing,Berger-Cloonan #10411,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/22/pages/page_0/files/10411.jpg,,
"['Gold gilt papers', 'Laid lines', 'art reproduction']","['12313', '5430']",Openly accessible,2021-06-16T14:20:39.457000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F2; Overall pattern of striped floral design; gold and green over white background; laid paper; Contained in BASSENGE folder; Not in Haemmerle?; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Bassenge Kunst und Buchauktion (Auction 98, Lot #5430) in 12/2011.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed. Not stamped.; Small tear at top; tiny hole",Circa 1775,reformatted digital,"1 sheet of green, gold and off-white Dutch gilt paper; 14.50 x 17.25 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12313,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/39/pages/page_0/files/12313.jpg,,
"['Gold gilt papers', 'Laid lines', 'art reproduction']",12425,Openly accessible,2021-06-16T14:31:46.077000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F8; Dutch gilt over orange paste; Adam and Eve with tree surrounded by pairs of animals; 4 orange borders; laid paper; [printed in block in gold ink on recto]: ""G N RENNER & ABEL""; Contained in open folder made from 2 pieces of tan masonite board and pieces of white tissue paper, See Bassenge p. 384; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Andreas Mueller in 08/2014.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed. Not stamped. Not stickered. Not embossed.; Dark area on lower left corner on recto; center fold",Early 19th century,reformatted digital,"1 sheet of orange, gold and cream Dutch gilt paper; 15.25 x 13.25 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12425,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/87/pages/page_0/files/12425.jpg,Germany--Nuremberg,
"['Laid lines', 'art reproduction']",12422,Openly accessible,2021-06-16T14:31:32.440000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Laid; P4.D6.F7; Found in walled-off section of a building in Jena, Germany; Photograph taken with the aid of a light table. The false image color more accurately captures the details of the laid paper.; Ilona Hesse donated the sheet to Sidney E. Berger and Michele V. Cloonan on 02/28/2004.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; Not signed. Not stamped. Not stickered. Not embossed.; Creased; wrinkled; center seam",Circa 1650,reformatted digital,1 sheet of blue laid paper; 18.75 x 22.25 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12422,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/86/pages/page_0/files/12422.jpg,Germany [?],P4.D6.F7.A
"['Gold gilt papers', 'Laid lines', 'art reproduction']","['12310', '5428']",Openly accessible,2021-06-16T14:19:58.356000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F2; Overall pattern of floral design; gold over brown paste; laid paper; Contained in BASSENGE folder; Not in Haemmerle?; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Bassenge Kunst und Buchauktion (Auction 98, Lot #5428) in 12/2011; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d; Not signed. Not stamped.",Circa 1790 [?],reformatted digital,"1 sheet of brown, gold and off-white Dutch gilt paper; 13.75 x 17.75 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12310,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/36/pages/page_0/files/12310.jpg,,
"['Gold gilt papers', 'Laid lines', 'art reproduction']","['5428', '12309']",Openly accessible,2021-06-16T14:19:44.597000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Laid; Printed; P4.D6.F2; Overall pattern of floral row design; gold over orange paste; laid paper; Contained in BASSENGE folder; Not in Haemmerle?; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Bassenge Kunst und Buchauktion (Auction 98, Lot #5428) in 12/2011.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.H.1.d.1; Not signed. Not stamped.",Circa 1750,reformatted digital,"1 sheet of orange, gold and off-white Dutch gilt paper; 13.25 x 16.25 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12309,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/35/pages/page_0/files/12309.jpg,,
"['Laid lines', 'art reproduction', 'Block-printed papers', 'Deckled edges']",12390,Openly accessible,2021-06-16T14:25:15.211000+00:00,Texas A & M University. Libraries,"Distribution of fibers; Surface application; Deckled; Laid; Printed; P4.D6.F7; Overall mid-size floral pattern with 3 yellow borders; laid paper; deckled; highly varnished finish on recto; inscription on piece: ""kattunpapier um 1760 ex Slg Hammerle""; Contained in small folder created by folded sheet of white paper; [written in pencil on recto of folded sheet]: ""Kattundruck von Hand grostencils aus seg Haemmerle""; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.C; II.E; VIII.H.1; Not signed. Not stamped. Not stickered. Not embossed.; Torn; creased; ink on verso",Circa 1760,reformatted digital,"1 sheet of red, green, yellow, black and cream block-printed paper; 14.50 x 18.50 in.",StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12390,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/59/pages/page_0/files/12390.jpg,,
"['Printed papers', 'art reproduction']",12376,Openly accessible,2021-06-16T14:22:42.681000+00:00,Texas A & M University. Libraries,"Surface application; Printed; P4.D6.F7; Series of 12 blocks with scenes depicting ""LE MONDE RENVERSE"" No 2.""; 19th century hand colored print on wove paper; Contained in a white folder marked in pencil: ""18th century Printed etc.""; Wrapped in clear plastic; Sidney E. Berger and Michele V. Cloonan purchased the sheet.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H; Not signed. Not stamped. Not stickered. Not embossed.; Stained and discolored along the edges on recto and verso; creased",Circa 1850,reformatted digital,"1 sheet of black, red, blue, pink, yellow, gray, green and white printed paper; 12.00 x 16.00 in.","['Text', 'StillImage']",Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #12376,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/48/pages/page_0/files/12376.jpg,,
"['art reproduction', 'Printed papers']",11810,Openly accessible,2021-06-16T14:18:35.938000+00:00,Texas A & M University. Libraries,"Surface application; Printed; P2.D2.F7; Row of little girls with flowers; semi-glossy finish; attached at one end with adhesive to a plain sheet of brown paper; [written in pencil on verso]: ""ENGLISH LUCIEN PISSARRO c 1900""; Contained in an open clear plastic sleeve; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.H; Not signed. Not stamped.; Stained and discolored on recto and verso; yellowed edges",Circa 1900,reformatted digital,1 sheet of gold and cream printed paper; 5.50 x 8.00 in.,StillImage,Paper,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Decorative paper,Berger-Cloonan #11810,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_3_objects/30/pages/page_0/files/11810.jpg,,P2.D2.F7.A
