medium,identifier,content_type,rights_statement,access_rights,extent,title,format,genre_form_local,description,subject_local,date_digital_creation,date_created,digital_publisher,Image,contributor,geographic_subject_local
Paper,8222,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of dark red, green, blue and white marbled paper; 6.25 x 18.00 in.",Berger-Cloonan #8222,reformatted digital,art reproduction|nonpareil marbled paper|endpapers,Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped.; Creased.,Marbled papers,2021-06-16T15:35:29.183000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/164/pages/page_0/files/08222.jpg,,
Paper,6909,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of dark red, blue and white marbled paper; 10.00 x 12.50 in.",Berger-Cloonan #6909,reformatted digital,art reproduction|nonpareil marbled paper|endpapers,"Surface application; Marbled; C2.B3; Previously used as an endpaper in a bookbinding; [stamped in blue ink on verso]: ""BOOK NUMBER""; [written in black ink on verso]""PR 2154.B4""; [stamped in black ink on verso]: ""BOUND BY J.B. HAWES CAMBRIDGE""; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Stamped. Not stickered. Not embossed.",Marbled papers,2021-06-16T15:07:09.740000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/40/pages/page_0/files/06909.jpg,,
Paper,6929,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of blue, brown, yellow and gray marbled paper; 9.25 x 11.50 in.",Berger-Cloonan #6929,reformatted digital,Dutch marbled paper|art reproduction|endpapers|curled marbled paper|French snail marbled papers,Surface application; Marbled; C2.B3; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.c; Not signed. Not stamped.; Abrasion.,Marbled papers,2021-06-16T15:11:42.822000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/60/pages/page_0/files/06929.jpg,,
Paper,8202,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of pink, blue, yellow, black and white marbled paper; 5.00 x 8.50 in.",Berger-Cloonan #8202,reformatted digital,endpapers|art reproduction|nonpareil marbled paper,Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped.; Edges torn.,Marbled papers,2021-06-16T15:31:37.076000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/147/pages/page_0/files/08202.jpg,,
Paper,6967,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,1 sheet of blue and white marbled paper; 8.25 x 10.00 in.,Berger-Cloonan #6967,reformatted digital,endpapers|Stormont marbled paper|art reproduction,Surface application; Marbled; C2.B3; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.g; Not signed. Not stamped.; Discolored; creased.,Marbled papers,2021-06-16T15:20:10.208000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/97/pages/page_0/files/06967.jpg,,
Paper,6925,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of blue, brown, yellow and gray marbled paper; 9.00 x 11.50 in.",Berger-Cloonan #6925,reformatted digital,art reproduction|curled marbled paper|endpapers|French snail marbled papers|Dutch marbled paper,Surface application; Marbled; C2.B3; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.c; Not signed. Not stamped.; Abrasion.,Marbled papers,2021-06-16T15:10:48.269000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/56/pages/page_0/files/06925.jpg,,
Paper,8286,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of red, blue, green, yellow and white marbled paper; 7.75 x 10.25 in.",Berger-Cloonan #8286,reformatted digital,art reproduction|endpapers|Laid lines|nonpareil marbled paper,Distribution of fibers; Surface application; Laid; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; Laid paper; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.1.e; Not signed. Not stamped.; Very faded; one rough edge; black mark on recto.,Marbled papers,2021-06-16T15:50:05.725000+00:00,19th century [?],Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/228/pages/page_0/files/08286.jpg,,
Paper,6908,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of dark red, blue and white marbled paper; 10.00 x 12.50 in.",Berger-Cloonan #6908,reformatted digital,endpapers|nonpareil marbled paper|art reproduction,Surface application; Marbled; C2.B3; Previously used as an endpaper in a bookbinding; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped. Not stickered. Not embossed.,Marbled papers,2021-06-16T15:06:56.176000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/39/pages/page_0/files/06908.jpg,,
Paper,8241,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of pink, blue, yellow, black and white marbled paper; 8.25 x 10.50 in.",Berger-Cloonan #8241,reformatted digital,nonpareil marbled paper|art reproduction|endpapers,"Surface application; Marbled; C2.B4; Previously used as an endpaper in a bookbinding; Inscription on original piece: ""Fine Portrait of Macklein Contains also ""Love a la Mode.""; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.e; Not signed. Not stamped.",Marbled papers,2021-06-16T15:39:48.416000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/183/pages/page_0/files/08241.jpg,,
Paper,1343,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of red, yellow, blue, black and white marbled paper; 16.25 x 24.00  in.",Berger-Cloonan #1343,reformatted digital,Chevron marbled papers|art reproduction|curl marbled paper,"Surface application; Marbled; M4.D2.F5; Inscription on original piece: ""Gift of Karli Frigge 7/10/00"";""done in 1911"";""Gebr. GIELES.""; Karli Frigge donated the sheet to Sidney E. Berger and Michele V. Cloonan on 07/10/2000.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.b; Not signed. Stamped. Not stickered. Not embossed.; Slightly yellowed",Marbled papers,2021-06-16T14:58:50.631000+00:00,1911,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/4/pages/page_0/files/01343.jpg,,
Paper,7006,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of blue, red, yellow, black and white marbled paper; 9.00 x 14.25 in.",Berger-Cloonan #7006,reformatted digital,endpapers|art reproduction|Stormont marbled paper,Surface application; Marbled; C2.B3; Previously used as an endpaper in a bookbinding; semi-glossy finish; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.f; Not signed. Not stamped.; Torn corners and edges; yellowed and stained on verso; un-marbled strip along binding edge.,Marbled papers,2021-06-16T15:29:04.849000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/136/pages/page_0/files/07006.jpg,,
Paper,6903,StillImage,"No copyright - United States; For more information, see:  http://rightsstatements.org/vocab/NoC-US/1.0/",Openly accessible,"1 sheet of blue, yellow and white marbled paper; 7.25 x 12.25 in.",Berger-Cloonan #6903,reformatted digital,art reproduction|Bouquet marbled papers|endpapers,Surface application; Marbled; C2.B3; Previously used as an endpaper in a bookbinding; waved pattern; The sheet is from the Bernard Middleton Collection. Bernard Middleton donated this sheet to Sidney E. Berger and Michele V. Cloonan circa 1990.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.a; Not signed. Not stamped.; Edges torn; edge curling; creased.,Marbled papers,2021-06-16T15:05:48.357000+00:00,19th century,Texas A & M University. Libraries,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/berger_cloonan_batch_4_objects/34/pages/page_0/files/06903.jpg,,
