dc_identifier,dc_creator,fedora_writable,dc_subject,dc_type,dc_language,dc_description,fedora_createdBy,fedora_lastModified,dcterms_spatial,dc_rights,dcterms_isPartOf,dcterms_extent,fedora_hasParent,dcterms_type,ldp_contains,dc_title,fedora_lastModifiedBy,dcterms_issued,dc_publisher,fedora_created,files,dc_coverage,dcterms_abstract
https://n2t.net/ark:/81423/d2md13',"Ogilby, John, 1600-1676",false,England--Maps--Early works to 1800|Roads--England--East Midlands--Maps--Early works to 1800,Road maps|Early maps|Strip maps,eng,"In lower right corner (in plate): 6.|With numbered distances along road.|Each segment has compass rose|Title in decorative cartouche, with fruits.|Vertical fold line at center.|Relief shown pictorially.|Shows the road, cities, towns, forested areas, rivers, hills, and buildings.|Appears in: Britannia, or, the kingdom of England and dominion of Wales, actually survey'd.|The Cushing Library copy is part of the Ronald L. and V. Jane Woellhof Rare Map Collection.",fedoraAdmin,2026-02-16T17:32:40.426000+00:00,England,http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,1 map in 6 segments : hand colored ; on sheet 39 x 48 cm,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/2/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/2/orderProxies,The continuation of the road from London to Barwick beginning at Stilton and extending to Tuxford : plate the 2d containing 62 miles : from Stilton to Stamford 13 3/4 to Grantham 21 1/2 to Newark 14 to Tuxford 12 3/4,fedoraAdmin,[1698?],Printed for Abel Swall,2026-02-16T17:32:40.426000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/2/pages/page_0/files/G5752-M5P2_1698_-O45.tif,,
https://n2t.net/ark:/81423/d2gk87,"Ogilby, John, 1600-1676",false,Roads--England--South Yorkshire--Maps--Early works to 1800|Roads--England--East Midlands--Maps--Early works to 1800|Roads|England--Maps--Early works to 1800,Road maps|Early maps|Strip maps,eng,"Each ribbon-style segment has compass rose.|Lower right corner (in plate): 48.|Vertical fold line at center.|Title in decorative cartouche with cornucopia.|Relief shown pictorially.|Appears in: Britannia, or, the kingdom of England and dominion of Wales, actually survey'd.|The Cushing Library copy is part of the Ronald L. and V. Jane Woellhof Rare Map Collection.|With numbered distances along road.",fedoraAdmin,2026-02-16T17:33:16.943000+00:00,England,http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,1 map in 7 segments : hand colored ; on sheet 39 x 49 cm,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/7/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/7/orderProxies,The extended road from Oakham to Richmond in Yorkshire : comencing at Oakham aforesaid & extending to Barnsley in Yorksh. : containing 81 miles 1 furlong vizt. : from Oakham to Milton Mowbray 10.4. to Plumtree 12.6. to Nottingham 5.2. to Papplewick 7.5. to Mansfeild 6.1. to Clown 11.3 to Aughton 9.3. to Rotherum 4.4 to Wombwell 8.6 & to Barnsley 4.4,fedoraAdmin,[1698?],Printed for Abel Swall,2026-02-16T17:33:16.943000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/7/pages/page_0/files/G5752-M5P2_1698_-O456.tif,,
https://n2t.net/ark:/81423/d29p93'),"Mercator, Gerhard, 1512-1594",false,"Prester John--(Legendary character)--Homes and haunts--Maps--Early works to 1800|Africa, Central--Maps--Early works to 1800|Christians--Africa, Central--History--Maps--Early works to 1800|Congo River Valley--Maps--Early works to 1800",Early maps,latIIfre,"Title and scale in strapwork cartouches.|Includes inset map, translated as, the kingdom of Congo in Christian Africa.|Text on verso in French (pages 339 and 340).|Detached from: Atlas sive cosmographicæ meditationes.|Vertical fold line at center.|Relief shown pictorially.|The Cushing Library copy is part of the Ronald L. and V. Jane Woellhof Rare Map Collection.|Map shows the legendary kingdom of the Christian king and priest Prester John.",fedoraAdmin,2026-02-16T17:33:44.224000+00:00,"Africa, Central|Congo River Valley",http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,1 map : hand colored ; on sheet 42 x 56 cm,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/5/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/5/pages,Abissinorum sive Pretiosi Ioannis imperiũ,fedoraAdmin,[1619?],Hondius,2026-02-16T17:33:44.224000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/5/pages/page_0/files/G8631-E42_1619_-M47_a.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/5/pages/page_1/files/G8631-E42_1619_-M47_b.tif,"Scale approximately 13,500,000 (W 18°06ʹ00ʺ--E 55°11ʹ00ʺ/N 24°07ʹ00ʺ--S 15°08ʹ00ʺ).",
https://n2t.net/ark:/81423/d20g97,"Münster, Sebastian, 1489-1552",false,"Asia, Central--Maps--Early works to 1800|Tajikistan--Maps--Early works to 1800|Afghanistan--Maps--Early works to 1800|Turkmenistan--Maps--Early works to 1800|Uzbekistan--Maps--Early works to 1800|Central Asia|Pakistan--Maps--Early works to 1800|Kazakhstan--Maps--Early works to 1800|Iran--Maps--Early works to 1800",Maps|Early maps|Early works|Cartes anciennes,lat,"Latin text on verso.|Trapezoidal projection.|Vertical fold-line at center.|""23""--Lower right, verso (right side).|Relief shown pictorially.|3 text blocks in cartouches: lists of the peoples of Sogduanae, Margianae, Scythiae.|The Cushing Library copy is part of the Ronald L. and V. Jane Woellhof Rare Map Collection.|Covers from western Caspian Sea, including all or parts of modern day Kazakhstan, Turkmenistan, Tajikistan, Iran, Afghanistan, Uzbekistan, and Iran. Down to Pakistan and part of northern India.|Woodblock printing.|Detached from: Ptolemy's Geographia universalis, 1540 ed., rev. & ed. by Sebastian Münster.",fedoraAdmin,2026-02-16T17:33:25.355000+00:00,"Kazakhstan|Pakistan|Uzbekistan|Asia, Central|Afghanistan|Central Asia|Tajikistan|Turkmenistan|Iran",http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,1 map : hand colored ; 24 x 33 cm,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/8/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/8/orderProxies,Tabvla Asiae VII,fedoraAdmin,[1540],Apud Henricum Petrum,2026-02-16T17:33:25.355000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/8/pages/page_0/files/G7405_1540_-M86_a.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/8/pages/page_1/files/G7405_1540_-M86_b.tif,Scale not given (E 53°15ʹ00ʺ--E 76°09ʹ00ʺ/N 46°52ʹ00ʺ--N 25°19ʹ00ʺ).,"This map summarizes Ptolemaic cartography of Central Asia. It was the seventh in a sequence of 12 maps of Asia as described by the 2nd century Egyptian cartographer, Claudius Ptolemy."
https://n2t.net/ark:/81423/d2q05d,"Münster, Sebastian, 1489-1552",false,Morocco--Maps--Early works to 1800|Algeria--Maps--Early works to 1800|Mauretania (Kingdom)--Maps--Early works to 1800,Early maps|Woodcuts,lat,"Includes a text box listing the cities in the 2 provinces of: Mauretania Tingitana and Mauretania Caesariensis|Shows Mauretania an ancient region which is in present day Morocco and northern Algeria; map also covers southern Spain.|On verso: text in Latin, surrounded by a decorative woodcut.|Vertical fold line at center.|Relief shown pictorially.|The Cushing Library copy is part of the Ronald L. and V. Jane Woellhof Rare Map Collection.|Trapezoid projection.|Detached from: Ptolemy's Geographia universalis, 1540 ed., rev. & ed. by Sebastian Münster.|Includes a vignette of a ship.",fedoraAdmin,2026-02-16T17:33:23.436000+00:00,Morocco|Algeria|Mauretania (Kingdom),http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,"1 map : woodcut, hand colored ; on sheet 33 x 40 cm",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/3/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/3/pages,Aphricae tabvla I,fedoraAdmin,[1540?],Apud Henricum Petrum,2026-02-16T17:33:23.436000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/3/pages/page_0/files/G8230_1540_-M86_a.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/3/pages/page_1/files/G8230_1540_-M86_b.tif,,
https://n2t.net/ark:/81423/d2jd03,"Mosburger, G. L.",false,"Oudenaarde (Belgium)--Maps|Spanish Succession, War of, 1701-1714--Campaigns--Belgium--Maps--Early works to 1800|Oudenaarde, Battle of, Oudenaarde, Belgium, 1708--Maps--Early works to 1800",Early maps|Military maps,fre,Includes a decorative title cartouche.|Vertical fold line at center.|Detached from: Table des cartes des Pays Bas et des frontières de France.|The Cushing Library copy is part of the Ronald L. and V. Jane Woellhof Rare Map Collection.,fedoraAdmin,2026-02-16T17:33:24.401000+00:00,Oudenaarde (Belgium),http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,1 map : hand colored ; 49 x 59 cm,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/6/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/6/pages,Plan de la Bataille d'Oudenaerde du 11 Juillet 1708,fedoraAdmin,[1712?],"Chez Eugene Henry Fricx, Ruë de la Madeleine",2026-02-16T17:33:24.401000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/6/pages/page_0/files/G6014-O934_1708_-M67_1712.tif,Scale indeterminable (E 3°31ʹ37ʺ--E 3°41ʹ06ʺ/N 50°55ʹ00ʺ--N 50°49ʹ56ʺ),
https://n2t.net/ark:/81423/d27052',"Fries, Lorenz, approximately 1490-1531",false,Ganges River Valley (India and Bangladesh)--Maps--Early works to 1800|India--Maps--Early works to 1800,Early maps,lat,The Cushing Library copy is part of the Ronald L. and V. Jane Woellhof Rare Map Collection.|Woodcut.|Trapezoid projection.|Detached from atlas.|Latin text on verso (page 24).|Vertical fold line at center.|Relief shown pictorially.|Title from chapter heading on verso.,fedoraAdmin,2026-02-16T17:33:38.824000+00:00,Ganges River Valley (India and Bangladesh)|India,http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,1 map : hand colored ; on sheet 40 x 52 cm,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/4/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/4/pages,Tabvla decima Asiae continet Indiam intra Gangem,fedoraAdmin,[1541?],Gaspard Trechsel,2026-02-16T17:33:38.824000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/4/pages/page_0/files/G7650_1541_-F72_a.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/4/pages/page_1/files/G7650_1541_-F72_b.tif,Scale not given (E 63°55ʹ00ʺ--E 97°34ʹ00ʺ/N 36°46ʹ00ʺ--N 7°40ʹ00ʺ).,
https://n2t.net/ark:/81423/d2s34p,"Speed, John, 1552?-1629",false,Ely (England)--Maps--Early works to 1800|Huntingdon (England)--Maps--Early works to 1800|Huntingdonshire (England)--Maps--Early works to 1800,Early maps,eng,"Relief shown pictorially.|The Cushing Library copy is part of the Ronald L. and V. Jane Woellhof Rare Map Collection.|Includes text, coats of arms.|English text on verso, pages 57-58. Titled 'Huntington-shire'. Signature Kk.|Smaller map of Ely, in neighboring Cambridgeshire, with index.|Detached from: Theatre of the Empire of Great Britaine (book 1).|Inset map with index: Huntingdon.|Vertical fold line at center.|Larger map covers Huntingdonshire, including larger settlements, hundreds, rivers and hills.",fedoraAdmin,2026-02-16T17:33:39.902000+00:00,Huntingdonshire (England)|Huntingdon (England)|Ely (England),http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,2 maps on 1 sheet : hand colored ; on sheet 41 x 54 cm,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/9/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/9/orderProxies,Huntington : both shire and shire towne with the ancient citie Ely described,fedoraAdmin,[1650?],are sold by Roger Rea the elder and younger at the Golden Crosse in Cornhill near ye Exchange,2026-02-16T17:33:39.902000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/9/pages/page_0/files/G1818-H8_1610_-S63_1650_a.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof_objects/9/pages/page_1/files/G1818-H8_1610_-S63_1650_b.tif,"Scale approximately 1:1,21,800 (W 0°28ʹ00ʺ--E 0°07ʹ00ʺ/N 52°35ʹ00ʺ--N 52°12ʹ00ʺ) Scale indeterminable (E 0°15ʹ15ʺ--E 0°16ʹ16ʺ/N 52°24ʹ08ʺ--N 52°23ʹ30ʺ)",
