dc_format,dcterms_spatial,ldp_contains,dc_rights,dcterms_abstract,dcterms_isPartOf,fedora_created,dc_contributor,fedora_lastModified,fedora_hasParent,dc_type,dc_title,dc_subject,dc_language,dcterms_extent,fedora_writable,dc_description,fedora_createdBy,dcterms_type,dc_creator,dcterms_created,fedora_lastModifiedBy,files
reformatted digital,"Oklahoma--Muskogee (Indian Territory)|Cherokee Nation, Oklahoma|Washington (D. C.)",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/63/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/63/pages,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Letter from Secretary of the Interior, E. A. Hitchcock, to the Commission to the Five Civilized Tribes approving of their decision to deny  the application of Jesse Hicks and his son, William Hicks (F.D. 1007) for enrollment as Cherokee Freedmen. It states that the Acting Commissioner of Indian Affairs also recommends that this decision be approved.","1/9: Hicks, Jesse, R-417. 1904, 1906",2025-08-14T18:14:30.898000+00:00,"Hitchcock, Ethan Allen, 1835-1909",2025-08-14T18:14:30.898000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Correspondence,"[Jesse Hicks et al. case]: Letter from E. A. Hitchcock, the Secretary of the Interior, to the Commission to the Five Civilized Tribes, Muskogee, Indian Territory, June 20, 1904","Governmental investigations|Children of freed persons|United States. Office of Indian Affairs|Hicks, William|African Americans|Cherokee Indians--Tribal citizenship|Hicks, Jesse|Freed persons",eng,1 page,false,"At the top of the document: ""(COPY); D.C. 21471-1904.; I.T.D. 4802-1904.; I.R.S.; W.C.F., J.P., FHE.""",fedoraAdmin,Text,United States. Department of the Interior,1904-06-20,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/63/pages/page_0/files/1-9_Hicks_Jesse_0002_0001.jp2
reformatted digital,"Oklahoma--Muskogee (Indian Territory)|Cherokee Nation, Oklahoma|Arkansas--Fort Smith",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/12/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/12/pages,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Letter from T.B. Needles, the Commissioner of the Five Civilized Nations, to Neal & London from Fort Smith, Arkansas, who represented Martha Albert, a former enslaved person, in her case for membership for herself and her children in the Cherokee Nation. he letter informs the attorneys about the rehearing and read judication of the Martha Albert case, scheduled for April 20, 1905, at the Commission's offices in Muskogee, Indian Territory.","1/1: Albert, Henry, et al., R-421. 1901,1905",2025-08-14T18:08:10.171000+00:00,"Needles, T. B. (Thomas. B.), 1835-1914",2025-08-14T18:08:10.171000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Correspondence,"[Martha Albert et al. case]: Letter from T. B. Needles, Commissioner to the Five Civilized Tribes, to Neal & London, Attorneys for Martha Albert et al., Fort Smith, Arkansas, April 8, 1905","African American women|Albert, Martha|African Americans|Cherokee Indians--Tribal citizenship|Freed persons|Governmental investigations|Children of freed persons",eng,1 page,false,"""Cherokee Freedmen, R-418, et al.""|The letter is addressed from ""Muskogee, Indian Territory.""|""COPY"" is stamped at the top of the page.|""Incl. S-63.""",fedoraAdmin,Text,United States. Commission to the Five Civilized Tribes,1905-04-08,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/12/pages/page_0/files/1-1_Albert_Henry_0011_0001.jp2
reformatted digital,"Oklahoma--Nowata (Indian Territory)|Oklahoma--Fort Gibson (Indian Territory)|Cherokee Nation, Oklahoma|Texas|Oklahoma--Canadian District (Indian Territory)|Oklahoma--Sequoyah District (Indian Territory)|Oklahoma--Spring Creek (Indian Territory)",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/131/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/131/pages,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Jesse Rowe, an African American Missionary Baptist minister from Delaware, Indian Territory, testifies on behalf of himself and his four grandchildren (Adamiah Seals, Alverta Seals, and Pearle Seals, and Clifford Seals) for enrollment as Cherokee Freedmen.  He testifies that their mother (Lizzie Seals, his daughter) was born in Texas and is deceased. Jesse testifies that he was formerly enslaved by a Cherokee Indian called ""Dick or Dave Rowe"" from Spring Creek in the Canadian District. He claims that George Starr, his later enslaver, took him from the Flint District to Texas before the Civil War. Jesse returned to the Cherokee Nation (Fort Gibson and the Sequoyah District) several times after the war but continued to live off and on in Texas until 1890, when he returned to reside permanently in the Cherokee Nation. It is decided to place the applications of Jesse and his grandchildren on a 'doubtful card' for further consideration.","1/20: Rowe Family. Joseph (R-360, D-1016), Parmelia (R-361, D-681). 1901, 1903-1904",2025-08-14T18:08:55.492000+00:00,"Von Weise, Chas.|Davenport, James S., 1864-1940|Rowe, Jesse|Needles, T. B. (Thomas. B.), 1835-1914|Smith, Edgar",2025-08-14T18:08:55.492000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Interviews,"[Jesse Rowe et al. case testimony]: Department of the Interior, Commission to the Five Civilized Tribes, Nowata, I. T., June 29th, 1901","American Civil War (United States : 1861-1865)|Seals Clifford|African Americans|Cherokee Indians--Tribal citizenship|Freed persons|Indian slaveholders|Seals, Pearle|Migration, Internal--Southern States|Enslaved persons|Seals, Alverta|Governmental investigations|Missionary Baptists|Rowe, Jesse|Seals, Adamiah|African American clergy|Children of freed persons",eng,3 pages,false,"Interviewers: Edgar Smith (Attorney for the applicants from the firm, Mellette & Smith), James Davenport (Attorney for the Cherokee Nation), T. B. Needles (Commissioner); Interviewee: Jesse Rowe; Stenographer: Chas. von Weise|""To be filed in the case of Parmelia Rowe, C. F. D. 681.""",fedoraAdmin,Text,United States. Commission to the Five Civilized Tribes,1901-06-29,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/131/pages/page_0/files/1-20RoweFamily_0005_0001.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/131/pages/page_1/files/1-20RoweFamily_0005_0002.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/131/pages/page_2/files/1-20RoweFamily_0005_0003.jp2
reformatted digital,"Arkansas--Fort Smith|Oklahoma--Muskogee (Indian Territory)|Oklahoma--Goingsnake District (Indian Territory)|Cherokee Nation, Oklahoma|Washington (D. C.)",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/81/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/81/pages,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Letter from E.A. Hitchcock, Secretary of Interior, informing the Commission that the Department has granted a motion filed by attorneys Neal and London of Fort Smith, Arkansas to re-open the case of Martha Albert et al. Although her application for enrollment as a Cherokee Freedman was previously denied, new evidence has emerged that suggests that Johnson Whitmire may have enslaved two women named Martha"" in Goingsnake District with divergent personal histories. Six other documents were originally enclosed with this letter, including the motion.","1/12: Knalls, Lula, et al., R-420. 1901, 1905",2025-08-14T18:15:53.117000+00:00,"Hitchcock, Ethan Allen, 1835-1909",2025-08-14T18:15:53.117000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Correspondence,"[Martha Albert et al. case]: Letter from E.A. Hitchcock, Secretary of the Interior to the Commission to the Five Civilized Tribes about Martha Albert's Cherokee Freedmen case, Washington, March 25, 1905","Children of freed persons|African American women|Albert, Martha|African Americans|Cherokee Indians--Tribal citizenship|United States. Commission to the Five Civilized Tribes|Indian slaveholders|Freed persons|Enslaved persons|Governmental investigations",eng,2 pages,false,"Letter is addressed to the Commission to the Five Civilized Tribes at ""Muskogee, Indian Territory.""|""I.T.D. 1332-1905.""|""D.C. 16475-1905.""",fedoraAdmin,Text,United States. Department of the Interior,1905-03-25,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/81/pages/page_0/files/1-12_Knalls_Lula_0002_0001.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/81/pages/page_1/files/1-12_Knalls_Lula_0002_0002.jp2
reformatted digital,"Oklahoma--Muskogee (Indian Territory)|Oklahoma--Illinois District (Indian Territory)|Cherokee Nation, Oklahoma",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/110/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/110/orderProxies,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","J. M. Fisher, a ""minister of the gospel"" from the Illinois District, certifies that he married Robert Mayfield and Mariah Grant on December 25, 1892. Clifton R. Breckinridge, Commissioner to the Five Civilized Tribes, certified and signed this statement on January 31, 1903.","1/15: Mayfield, Robert, R-357. 1903-1904",2025-08-14T18:07:45.478000+00:00,"United States. Commission to the Five Civilized Tribes|Breckinridge, Clifton Rodes, 1846-1932",2025-08-14T18:07:45.478000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Affidavits,"[Robert Mayfield case:]: Affidavit from J.M. Fisher, Illinois District, Cherokee Nation, for the Commission to the Five Civilized Tribes, Muskogee, Indian Territory, Jan. 31, 1903","Freed persons|Governmental investigations|Grant, Mariah|Matrimony|African Americans|Cherokee Indians--Tribal citizenship|Mayfield, Robert",eng,1 page,false,"Typewritten at the top of this document: ""Cher. F. D.45.""",fedoraAdmin,Text,"Fisher, J. M.",1903-01-31,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/110/pages/page_0/files/1-15MayfieldRobert_0003_0001.jp2
reformatted digital,"Oklahoma--Muskogee (Indian Territory)|Cherokee Nation, Oklahoma",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/43/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/43/pages,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Official decision of the Commission to the Five Civilized Tribes to reject the application of George and July Bell. They were enslaved by a Cherokee man by the name of L.B. Bell and were taken south after the Civil War began. However, the Bells did not return to the Cherokee Nation until May 1867, after the timeframe specified in the Treaty of 1866 and were not on the 1880 authenticated roll of the Cherokee Nation. It was decided to deny this case under provisions of the Curtis Act, approved by Congress on June 28, 1898.","1/4: Bell Family. George (D-706, R-415), July (D-1021, R-416). 1904, 1907",2025-08-14T18:13:16.215000+00:00,,2025-08-14T18:13:16.215000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,,"Decision: in the matter of the application of George Bell et al. for enrollment as Cherokee Freedmen, consolidating the applications of George Bell, Cherokee Freedmen D 706 [and] July Bell, Cherokee Freedman D 1021.","African Americans|Cherokee Indians--Tribal citizenship|Bell, July|Treaty with the Cherokee (1866 July 19)|Indian slaveholders|Freed persons|Migration, Internal--Southern States|Enslaved persons|United States. Curtis Act|Bell, George|Governmental investigations|Cherokee Indians--Legal status, laws, etc.|Cherokee Indians--Census, 1880|American Civil War (United States : 1861-1865)",eng,1 page,false,"At the top of the document: ""Department of the Interior, Commission to the Five Civilized Tribes.""",fedoraAdmin,Text,United States. Commission to the Five Civilized Tribes,1904-03-05,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/43/pages/page_0/files/1-4_Bell_Family_0006_0001.jp2
reformatted digital,"Oklahoma--Fort Gibson (Indian Territory)|Cherokee Nation, Oklahoma",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/60/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/60/orderProxies,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Supplementary document to a hearing where Susan Harlin had testified for her case for enrollment as a Cherokee Freedman. Clifton R. Breckinridge, the Commissioner to the Five Civilized Tribes. requests that a certified copy of the Cherokee Nation Supreme Court's decision, in regard to the rights of ""intermarried citizens,"" be filed as part of Harlin's testimony.","1/8: Harlin, Susan, et al., R-352. 1901, 1904",2025-08-14T18:14:26.803000+00:00,"Breckinridge, Clifton Rodes, 1846-1932|Green, M. D.|Hastings, William Wirt, 1866-1938|Harlin, Susan",2025-08-14T18:14:26.803000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Interviews,"[Susan Harlin et al. case testimonies]: Supplemental: C.F. D-149, Department of the Interior, Commission to the Five Civilized Tribes, Fort Gibson, I. T., September 13, 1901","Children of freed persons|African American women|African Americans|Cherokee Indians--Tribal citizenship|Intermarriage--Law and legislation|Harlin, Susan|Freed persons|Governmental investigations|Cherokee Nation. Supreme Court",eng,1 page,false,"""FD 149"" is written on the back of the page.|""Appearances: Applicant, Susah Harlin, in person. W.W. Hastings for the Cherokee Nation.""|Signed by Clifton R. Breckinridge, the Commissioner to the Five Civilized Tribes, and by stenographer, M.D. Green.",fedoraAdmin,Text,United States. Commission to the Five Civilized Tribes,1901-09-13,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/60/pages/page_0/files/1-8HarlinSusan_0005_0001.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/60/pages/page_1/files/1-8HarlinSusan_0005_0002.jp2|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/60/pages/page_2/files/1-8HarlinSusan_0005_0003.jp2
reformatted digital,"Cherokee Nation, Oklahoma|Washington (D. C.)",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/164/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/164/orderProxies,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","Jesse E. Wilson the Assistant Secretary of the Interior, informs the Commissioner of Indian Affairs that his department has found the decision of the Commissioner to the Five Civilized Tribes (Tams Bixby) to deny fifteen Cherokee Freedmen enrollment cases to be ""correct."" However, he states that the Department of the Interior lacks the authority to enroll the applicants even if the Commissioner's decision had been found to be in error.  The records of these cases, along with a letter from the Office of Indian Affairs was originally enclosed with this letter.","1/27: Vann, Katie, et al., R-349. 1902, 1907",2025-08-14T18:10:49.090000+00:00,"Wilson, Jesse E.",2025-08-14T18:10:49.090000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Correspondence,"[Katie Vann et al. and other denied cases for Cherokee Freedmen enrollment]: Letter from Jesse E. Wilson, Assistant Secretary to the Department of the Interior to the Commissioner of Indian Affairs, Washington, March 9, 1907","Osburn, Nancy M.|African Americans|Vann, George|Randolph, Martha|Jenkens, Elias|Rogers, Susie|Johnson, Katie|Freed persons|Vann, Joe|United States. Department of the Interior|Henson, Polly|Welch, Benjamin F.|Vann, Areminta|Vann, Lydia|Vann, Ray|Children of freed persons|Lowther, Christopher C.|Cherokee Indians--Tribal citizenship|Vann, Lou|Bannon, John W.|United States. Commission to the Five Civilized Tribes|Watson, Parmelia|Fields, Martha J.|Vann, Dollie|Vann, Granville|Governmental investigations|Bixby, Tams, 1854-1922|Vann, Florence|Keys, Alexander|HIcks, Mary M.|Washington, Laura|Vann, Ethel|Vann, Katie|Vann, Tessey|African American women",eng,1 page,false,"Typewritten at the top: ""Copy; I.T.D. 8002-1907.; LRS.; LLB.""",fedoraAdmin,Text,United States. Department of the Interior,1907-03-09,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/164/pages/page_0/files/1-27VannKatie_0006_0001.jp2
reformatted digital,"Oklahoma--Muskogee (Indian Territory)|Cherokee Nation, Oklahoma",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/141/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/141/orderProxies,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","The official decision of the Commission to the Five Civilized Tribes to deny the following applications to be enrolled as Cherokee Freedmen: Peggy A. Rowe et al., Cully Rowe, and Freeman Rowe. The Peggy A. Rowe et al. case included the application of Peggy, her minor daughters (Dinah, Katie, Annie, and Ruthie) and her minor grandchildren (Clarence Simmons, Roger Wheat, and Agnes Porter). It was found that Peggy Rowe, who was formerly enslaved by a Cherokee citizen, did not return to the Cherokee Nation from Texas after the Civil War within the timeframe specified in a Court of Claims decree rendered in the 1896 case of Moses Whitmire, trustee, etc., vs. the Cherokee Nation, et al. It was also found that none of the applicants' names appeared on the 1880 authenticated Cherokee tribal roll. It was decided to deny this case under provisions in the Curtis Act of June 28, 1898.","1/22: Rowe, Freeman. 1904",2025-08-14T18:09:27.143000+00:00,"Bixby, Tams, 1854-1922|Breckinridge, Clifton Rodes, 1846-1932|Needles, T. B. (Thomas. B.), 1835-1914",2025-08-14T18:09:27.143000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Correspondence,"Decision: in the matter of the application for the enrollment of Peggy A. Rowe et al., as Cherokee Freedmen, consolidating the applications of-- Peggy A. Rowe et al., Cherokee Freedmen D 646, Cully Rowe, Cherokee Freedmen D-896, Freeman Rowe, Cherokee Freedmen D-897","African Americans|Cherokee Indians--Tribal citizenship|Wheat, Rogers|Freed persons|Migration, Internal--Southern States|Rowe, Dinah|Rowe, Peggy A.|Simmons, Clarence|United States. Curtis Act|Governmental investigations|Rowe, Cully|Rowe, Ruthie|Porter, Agnes|Cherokee Indians--Legal status, laws, etc.|Rowe, Freeman|Children of freed persons|Cherokee Indians--Census, 1880|African American women|American Civil War (United States : 1861-1865)|Rowe, Katie",eng,1 page,false,"Includes typewritten signatures of three commissioners (Tams Bixby, T.B. Needles, and C.R. Breckinridge), dated at Muskogee, Indian Territory on April 20, 1904.",fedoraAdmin,Text,United States. Commission to the Five Civilized Tribes,1904-04-20,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/141/pages/page_0/files/1-22RoweFreeman_0002_0001.jp2
reformatted digital,"Oklahoma--Muskogee (Indian Territory)|Cherokee Nation, Oklahoma|Washington (D. C.)",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/111/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/111/pages,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","""Thos Ryan,"" the Acting Secretary of the Interior, informs the Commission to the Five Civilized Tribes that the Acting Commissioner of Indian Affairs and the Department of the Interior have approved their decision to reject Robert Mayfield's application for enrollment as a Cherokee Freedman. A copy of the Acting Commissioner's letter was originally enclosed with this document.","1/15: Mayfield, Robert, R-357. 1903-1904",2025-08-14T18:07:45.226000+00:00,"Ryan, Thomas, 1837-1914",2025-08-14T18:07:45.226000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Correspondence,"[Robert Mayfield case]: Letter from Thos Ryan, Acting Secretary of the Interior to the Commission to the Five Civilized Tribes, Muskogee, Indian Territory, May 23, 1904","United States. Office of Indian Affairs|African Americans|Cherokee Indians--Tribal citizenship|Mayfield, Robert|Freed persons|Governmental investigations",eng,1 page,false,"Typewritten at the top of the letter: ""D. C. 17595 - 1904. WCF, JP, FHE; I.T.D. 4066-1904.""",fedoraAdmin,Text,United States. Department of the Interior,1904-05-23,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/111/pages/page_0/files/1-15MayfieldRobert_0004_0001.jp2
reformatted digital,"Oklahoma--Tahlequah (Indian Territory)|Oklahoma--Muskogee (Indian Territory)|Cherokee Nation, Oklahoma",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/99/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/99/pages,"No Copyright - United States; For more information, see: http://rightsstatements.org/vocab/NoC-US/1.0/","T.B. Needles, Commissioner to the Five Civilized Tribes, informs W.W. Hastings an attorney for the Cherokee Nation, that the applications of the Mayfield family for enrollment as Cherokee Freedmen has been rejected by the Commission. This includes the applications of Sallie, Thomas, Milert, Houston, John, Cornelia, Fannie, Hattie, Emmett, Thomas, Leonard, Emberry, and Sallie Mayfield. This recommendation was forwarded to the Secretary of the Interior for a final decision.","1/14: Mayfield Family. Sallie (D-91, R-407), Thomas, et al. (D-124, R-408), Emberry, et al. (D-131, R-409). 1901, 1904",2025-08-14T18:17:14.021000+00:00,"Needles, T. B. (Thomas. B.), 1835-1914",2025-08-14T18:17:14.021000+00:00,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects,Correspondence,"[Sallie Mayfield et al. case]: Letter from T. B. Needles, Commissioner to the Five Civilized Tribes, to W. W. Hastings, Attorney for the Cherokee Nation, Tahlequah, Indian Territory, May 5, 1904","Children of freed persons|African American women|African Americans|Cherokee Indians--Tribal citizenship|Freed persons|Mayfield, Emberry|Governmental investigations|Mayfield, Thomas|Mayfield, Sallie",eng,1 page,false,"The letter is addressed from Muskogee, Indian Territory.|The word ""COPY"" is stamped at the top of the page.|Typewritten at the top of the letter: ""Cherokee Freedmen, D-91 et al.; ""Enc. D-211"" appears at bottom of the letter.",fedoraAdmin,Text,United States. Commission to the Five Civilized Tribes,1904-05-05,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/cherokee-freedmen-corrected_objects/99/pages/page_0/files/1-14MayfieldFamily_0007_0001.jp2
