field_name,collection,csv_file
dc_creator,cvm-batch-2,cvm-batch-2.csv
URI,Fedora Collections,Fedora Collections.csv
Created,Fedora Collections,Fedora Collections.csv
Works,Fedora Collections,Fedora Collections.csv
Environment,Fedora Collections,Fedora Collections.csv
Parent Collection,Fedora Collections,Fedora Collections.csv
Url to collection online,Fedora Collections,Fedora Collections.csv
Sheet Creator,Fedora Collections,Fedora Collections.csv
Sheet Done,Fedora Collections,Fedora Collections.csv
Date Created,Fedora Collections,Fedora Collections.csv
Archipelago Collection,Fedora Collections,Fedora Collections.csv
Notes,Fedora Collections,Fedora Collections.csv
Errors,Fedora Collections,Fedora Collections.csv
ldp_contains,graydiary-saf,graydiary-saf.csv
dcterms_created,graydiary-saf,graydiary-saf.csv
dc_title,graydiary-saf,graydiary-saf.csv
dc_creator,graydiary-saf,graydiary-saf.csv
dc_format,graydiary-saf,graydiary-saf.csv
dc_language,graydiary-saf,graydiary-saf.csv
fedora_hasParent,graydiary-saf,graydiary-saf.csv
dc_description,graydiary-saf,graydiary-saf.csv
dcterms_extent,graydiary-saf,graydiary-saf.csv
dc_subject,graydiary-saf,graydiary-saf.csv
fedora_writable,graydiary-saf,graydiary-saf.csv
dc_rights,graydiary-saf,graydiary-saf.csv
fedora_createdBy,graydiary-saf,graydiary-saf.csv
fedora_lastModified,graydiary-saf,graydiary-saf.csv
fedora_lastModifiedBy,graydiary-saf,graydiary-saf.csv
dcterms_type,graydiary-saf,graydiary-saf.csv
fedora_created,graydiary-saf,graydiary-saf.csv
files,graydiary-saf,graydiary-saf.csv
dc_subject,houston_oil_company_minutes,houston_oil_company_minutes.csv
dc_description,houston_oil_company_minutes,houston_oil_company_minutes.csv
dc_rights,houston_oil_company_minutes,houston_oil_company_minutes.csv
dcterms_extent,houston_oil_company_minutes,houston_oil_company_minutes.csv
fedora_created,houston_oil_company_minutes,houston_oil_company_minutes.csv
fedora_createdBy,houston_oil_company_minutes,houston_oil_company_minutes.csv
ldp_contains,houston_oil_company_minutes,houston_oil_company_minutes.csv
dc_title,houston_oil_company_minutes,houston_oil_company_minutes.csv
fedora_writable,houston_oil_company_minutes,houston_oil_company_minutes.csv
dc_contributor,houston_oil_company_minutes,houston_oil_company_minutes.csv
fedora_lastModifiedBy,houston_oil_company_minutes,houston_oil_company_minutes.csv
dc_type,houston_oil_company_minutes,houston_oil_company_minutes.csv
dc_identifier,houston_oil_company_minutes,houston_oil_company_minutes.csv
fedora_lastModified,houston_oil_company_minutes,houston_oil_company_minutes.csv
fedora_hasParent,houston_oil_company_minutes,houston_oil_company_minutes.csv
files,houston_oil_company_minutes,houston_oil_company_minutes.csv
dc_description,la_linda_poblana,la_linda_poblana.csv
dc_extent,la_linda_poblana,la_linda_poblana.csv
ldp_contains,la_linda_poblana,la_linda_poblana.csv
dc_genre,la_linda_poblana,la_linda_poblana.csv
dc_abstract,la_linda_poblana,la_linda_poblana.csv
dcterms_type,la_linda_poblana,la_linda_poblana.csv
fedora_createdBy,la_linda_poblana,la_linda_poblana.csv
dc_format,la_linda_poblana,la_linda_poblana.csv
dc_subject,la_linda_poblana,la_linda_poblana.csv
dc_creator,la_linda_poblana,la_linda_poblana.csv
fedora_hasParent,la_linda_poblana,la_linda_poblana.csv
dc_date,la_linda_poblana,la_linda_poblana.csv
fedora_created,la_linda_poblana,la_linda_poblana.csv
dc_title,la_linda_poblana,la_linda_poblana.csv
dc_rights,la_linda_poblana,la_linda_poblana.csv
dc_title:alternative,la_linda_poblana,la_linda_poblana.csv
