dcterms_abstract,fedora_lastModified,ldp_contains,dc_title,dc_language,fedora_lastModifiedBy,fedora_writable,dc_format,dcterms_created,dc_subject,dc_rights,fedora_createdBy,fedora_hasParent,dc_description,dcterms_type,fedora_created,files,dc_creator,dc_type,dcterms_coverage,dcterms_provenance,dc_contributor
"Proof copies of books are often issued in anticipation of official publication for the purposes of editing and promotion. Despite the stated fact of its being an “Uncorrected Proof,” this unique copy of A Gentle Madness bears extensive corrections by the author as he made the final preparations for the text’s publication.",2024-09-24T16:52:26.663000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/21/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/21/pages,Typesetters markup for proof of A Gentle Madness,eng,fedoraAdmin,false,reformatted digital,1995?,"Gentle madness (Basbanes, Nicholas A., 1943- )|Manuscripts",in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",Text,2024-09-24T16:52:26.663000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/21/pages/page_0/files/AGM-typesetters-copy.jpg,,,,,
"An early Table of Contents in manuscript, reflecting the major organizing themes of many chapters.",2024-09-24T16:54:31.008000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/26/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/26/orderProxies,Manuscript Table of Contents for A Gentle Madness,eng,fedoraAdmin,false,reformatted digital,1992-06-08,"Gentle madness (Basbanes, Nicholas A., 1943- )|Manuscripts",in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",Text,2024-09-24T16:54:31.008000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/26/pages/page_0/files/early-TOC-1992.jpg,"Basbanes, Nicholas A., 1943-",,,,
"Holiday card sent to bookseller Robert Hayman by book thief Stephen C. Blumberg, 1995.",2024-09-24T16:51:48.901000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/17/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/17/orderProxies,Holiday card sent to Robert Hayman by Stephen C Blumberg,eng,fedoraAdmin,false,reformatted digital,1995,"Book collectors|Blumberg, Stephen Carrie|Christmas cards|Hayman, Robert|Thieves",in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",StillImage,2024-09-24T16:51:48.901000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/17/pages/page_0/files/blumberg-holiday%20card_1.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/17/pages/page_1/files/blumberg-holiday%20card_2.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/17/pages/page_2/files/blumberg-holiday%20card_3.jpg,"Blumberg, Stephen Carrie",Personal correspondence|Greeting cards,,,
"This report, prepared in the early months of writing A Gentle Madness, offers an intimate portrait of the author at work, capitalizing upon his instincts as a journalist and the natural inclinations of his subjects to discuss the esoteric world of the book trade. As Basbanes notes here, “Book people love to talk.” Among the luminaries he interviewed in these months were L.D. Brodsky, Leonard Baskin, William Reese, Walter Pforzheimer -- all titans of the book world. The anecdotes he collected would serve as springboards for his sustained examination of book collecting. He writes, “Though A Gentle Madness is not a how-to guide, we will learn a lot about how these people buy what they buy.”",2024-09-24T16:53:53.316000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/22/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/22/orderProxies,"Status Report, 1989 for A Gentle Madness",eng,fedoraAdmin,false,reformatted digital,1989-10-20,"Gentle madness (Basbanes, Nicholas A., 1943- )|Manuscripts",in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",Text,2024-09-24T16:53:53.316000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/22/pages/page_0/files/Status-Report_1.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/22/pages/page_1/files/Status-Report_2.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/22/pages/page_2/files/Status-Report_3.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/22/pages/page_3/files/Status-Report_4.jpg,"Basbanes, Nicholas A., 1943-",,,,
"Stephen Blumberg maintained a sporadic correspondence with Nicholas Basbanes during his incarceration. In this letter, Blumberg acknowledges receiving the copy of A Gentle Madness sent to him by the author and describes it as “an unbiased account of what happened.”",2024-09-24T16:57:47.201000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/8/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/8/orderProxies,Basbanes letter to Blumberg,eng,fedoraAdmin,false,reformatted digital,1993-12-20,"Book collectors|Blumberg, Stephen Carrie|Letters|Basbanes, Nicholas A., 1943-|Bibliomania|Thieves",in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",Text,2024-09-24T16:57:47.201000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/8/pages/page_0/files/blumberg-letter_1.jpg,"Basbanes, Nicholas A., 1943-",Business correspondence,,,
"In January 1991, Basbanes traveled to Des Moines, Iowa, to attend the trial of Stephen Blumberg, who stood accused of stealing nearly 24,000 books from cultural institutions across the United States and Canada. During this time, Basbanes had an exceptional opportunity to travel with Blumberg to his home in Ottumwa, Iowa. The town is notable as being nearly in the center of the country, thus making it the ideal base of operations for Blumberg as he drove around the country illicitly acquiring his collection. On the occasion of this, his final visit to the house before being convicted and sentenced, Blumberg offered Basbanes this linocut print -- an original, hand-printed design that demonstrates the biblioklept’s passion for Victorian architecture.",2024-09-24T16:57:52.164000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/9/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/9/pages,Linocut print inscribed to Nicholas A Basbanes,,fedoraAdmin,false,reformatted digital,1991?,"Blumberg, Stephen Carrie|Collectibles|Homes|Pictorial works",In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",StillImage,2024-09-24T16:57:52.164000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/9/pages/page_0/files/blumberg-linocut.jpg,"Blumberg, Stephen Carrie",linocuts (prints)|art reproduction,Iowa--Ottumwa,,
Convicted book thief Blumberg was required to show this notification upon entry to any library or bookstore.,2024-09-24T16:50:50.071000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/18/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/18/orderProxies,Notification to Librarian or Bookseller,eng,fedoraAdmin,false,reformatted digital,1995?,"Booksellers and bookselling|Book thefts|Blumberg, Stephen Carrie|Collectibles|Librarians",in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",Text,2024-09-24T16:50:50.071000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/18/pages/page_0/files/blumberg-notification_1.jpg,,,,Given to Basbanes by bookseller Robert Hayman.,
A Worklog where Nicolas Basbanes documented a daily wordcount between late 1991 and early 1992.,2024-09-24T16:53:56.675000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/24/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/24/orderProxies,Worklog,eng,fedoraAdmin,false,reformatted digital,1992-03-31,"Manuscripts|Gentle madness (Basbanes, Nicholas A., 1943- )",in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",Text,2024-09-24T16:53:56.675000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/24/pages/page_0/files/Worklog-1991-92_1.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/24/pages/page_1/files/Worklog-1991-92_2.jpg,"Basbanes, Nicholas A., 1943-",,,,
"Following the successful conviction of Stephen C. Blumberg, work continued for years to identify and repatriate the stolen goods to their proper institutional homes. In early 1993, nearly 1000 items that remained unclaimed were bestowed to Creighton University, whose personnel were essential to the success of this repatriation effort, which came to be known as the “Omaha Project.” The books were subsequently sold to a board member of the Friends of the Omaha Public Library, who then proceeded to sell them piecemeal. Eventually, a deal was struck whereby the remaining stock was gathered to be sold at the public auction advertised here “with Proof of Clear Title.” The title for the auction comes, of course, from Basbanes’s book, which was by that time already a classic.",2024-09-24T16:49:01.566000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/10/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/10/orderProxies,"Cover of ""Remnants of A Gentle Madness: The Stephen C Blumberg ""Library"" of Americana Auction Catalogue """,eng,fedoraAdmin,false,reformatted digital,1999,"Private libraries|Book thefts|Blumberg, Stephen Carrie|Auction catalogs|Book auctions",In copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",StillImage,2024-09-24T16:49:01.566000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/10/pages/page_0/files/cowans-catalogue.jpg,"Cowan, C. Wesley",Auction catalogs,Ohio--Cincinnati,,
"Annotated typescript of Basbanes's lecture, ""Brandy for Heroes,"" delivered as part of the Grolier Club's ""The Collector & the Bookseller: Fellowship of the Book"" symposium, April 19, 1995.",2024-09-24T16:55:25.140000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/15/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/15/pages,Annotated typescript draft of lecture to Grolier Club,eng,fedoraAdmin,false,reformatted digital,1995,Booksellers and bookselling|Book collectors|Book collecting|Lectures|Grolier Club,in copyright - Educational Use Permitted; For more information see:  http://rightsstatements.org/vocab/InC-EDU/1.0/,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects,"From the professional archives of Nicholas A. Basbanes, now held by Cushing Memorial Library & Archives, Texas A&M University.",Text,2024-09-24T16:55:25.140000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/15/pages/page_0/files/Basbanes-Grolier%20talk_1.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/15/pages/page_1/files/Basbanes-Grolier%20talk_2.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/15/pages/page_2/files/Basbanes-Grolier%20talk_3.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/15/pages/page_3/files/Basbanes-Grolier%20talk_4.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/15/pages/page_4/files/Basbanes-Grolier%20talk_5.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/15/pages/page_5/files/Basbanes-Grolier%20talk_6.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/15/pages/page_6/files/Basbanes-Grolier%20talk_7.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/15/pages/page_7/files/Basbanes-Grolier%20talk_8.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/15/pages/page_8/files/Basbanes-Grolier%20talk_9.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/basbanes-exhibit-texts-20240924_objects/15/pages/page_9/files/Basbanes-Grolier%20talk_10.jpg,"Basbanes, Nicholas A., 1943-",Lectures,,,
