fedora_lastModifiedBy,fedora_created,fedora_hasParent,fedora_createdBy,dc_identifier,fedora_lastModified,dc_title,fedora_writable,ldp_contains,files
fedoraAdmin,2025-07-18T17:31:10.464000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects,fedoraAdmin,c000507_001_002_access_l,2025-07-18T17:31:10.464000+00:00,Advention 2 [Raw recording of events from the 1973 Adelaide Science Fiction Association],false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/2/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/2/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/2/pages/page_0/files/c000507_001_002_access_l.mp3
fedoraAdmin,2025-07-18T17:31:30.474000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects,fedoraAdmin,c000507_002_015_access_l,2025-07-18T17:31:30.474000+00:00,"Bill Crider with Charlotte Laughlin on Robert E. Howard: Raw Interview, Tape 2",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/5/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/5/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/5/pages/page_0/files/c000507_002_015_access_l.mp3
fedoraAdmin,2025-07-18T17:31:33+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects,fedoraAdmin,c000507_004_005,2025-07-18T17:31:33+00:00,John Maex (Collecting): Raw Interview,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/7/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/7/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/7/pages/page_0/files/c000507_004_005_access.mp3
fedoraAdmin,2025-07-18T17:31:35.739000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects,fedoraAdmin,c000507_001_011_1_pres,2025-07-18T17:31:35.739000+00:00,Piers Anthony Master Side 1: Interview,false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/4/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/4/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/4/pages/page_0/files/c000507_001_011_1_pres.mp3
fedoraAdmin,2025-07-18T17:31:34.341000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects,fedoraAdmin,c000507_002_015_access_r,2025-07-18T17:31:34.341000+00:00,"Bill Crider with Charlotte Laughlin on Robert E. Howard: Raw Interview, Tape 2",false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/6/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/6/orderProxies,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/6/pages/page_0/files/c000507_002_015_access_r.mp3
fedoraAdmin,2025-07-18T17:31:50.260000+00:00,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects,fedoraAdmin,c000507_001_002_access_r,2025-07-18T17:31:50.260000+00:00,Advention 2 [Raw recording of events from the 1973 Adelaide Science Fiction Association],false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/3/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/3/pages,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/sfrs_objects/3/pages/page_0/files/c000507_001_002_access_r.mp3
