dc_subject:lcc,ldp_contains,dc_contributor,fedora_writable,dcterms_issued,dcterms_type,dc_language,dc_subject,dcterms_spatial,dc_description,fedora_lastModified,fedora_created,dc_title,fedora_hasParent,dc_format,dc_identifier,fedora_lastModifiedBy,dc_creator,fedora_createdBy,dc_rights,files,tamudigital_local/coordinates,dcterms_lcc
TA544 .S35 1797,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/21/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/21/pages,"Tarelo, Joseph Antonio",false,1797,SillImage|Text,spa,"Poems - Mexico - 18th century|Surveying--New Spain--Early works to 1800|Satires - Mexico - 18th century|New Spain - Miscellanea|Area measurement--Early works to 1800|Formulas, recipes, etc. - New Spain - Early works to 1800 - Scientific apparatus and instruments - Early works to 1800|Land use - New Spain - Early works to 1800|Manuscripts - Mexico - 18th century - Specimens",New Spain,"Held in the Colonial Mexican Collection of Cushing Memorial Library & Archives on the campus of Texas A&M University, in College Station, TX.",2022-12-20T16:21:00.823000+00:00,2022-12-20T16:21:00.823000+00:00,"Libro mui curioso en que seda noticia, y se explica claramente el modo de observar y lo que deve hacer el Medidor antes de la vista de Ojos y su medida El qual Libro sirve para el uso, y recreo honesto de el S.or Dn. Joseph Antonio Tarelo. Por la gracia de Dios. Labrador-climaterico, y mui inteligente en todas Facultades",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,5346726,fedoraAdmin,"Santos Zerezo, Joseph de los",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/21/pages/page_0/files/5346726_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/21/pages/page_1/files/5346726_2.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/21/pages/page_2/files/5346726_3.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/21/pages/page_3/files/5346726_4.tif,,
G1541.P5 S7 1809,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/25/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/25/orderProxies,,false,1809,StillImage,spa,Harbors--Caribbean Area--Maps,Caribbean Area,"Held in the Colonial Mexican Collection of Cushing Memorial Library & Archives on the campus of Texas A&M University, in College Station, TX.",2022-12-14T15:30:34.484000+00:00,2022-12-14T15:30:34.484000+00:00,Portulano de la America Setentrional: dividido en quatro partes,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,5838372,fedoraAdmin,,fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/25/pages/page_0/files/5838372_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/25/pages/page_1/files/5838372_2.tif,,
G4031.C5 1849 .R6,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/52/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/52/orderProxies,"Marcus, Adolph|Henry & Cohen.",false,1849,StillImage,ger,Geology--Texas--Maps|Texas--Maps|Land Grants--Texas--Maps|Indians of North America--Texas--Maps|Indians of North America--fast|Land grants--fast|Cross Timbers (Okla. and Tex.)--Maps,Cross Timbers (Okla. and Tex.|United States|Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.|Date of object determined by library to be 1849.",2022-12-16T15:33:14.287000+00:00,2022-12-16T15:33:14.287000+00:00,Topographisch-geognostische Karte von Texas : mit Zugrundelegung der geographischen Karte v. Wilson nach eigenen Beobachtungen bearbeitet,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,in00004381467,fedoraAdmin,"Roemer, Ferdinand, 1818-1891",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/52/pages/page_0/files/00004381467.tif,(W 102°--W 93°/N 35°--N 26°),
G4030 1846 .M57,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/13/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/13/pages,,false,1846,StillImage,eng,Texas--Boundaries--Maps|Indians of North America--Texas--Maps|Mines and mineral resources--Texas--Maps|Counties--Texas--Maps|Cities and towns--Texas--Maps|Battlefields--Texas--Maps|Indian Territory--Maps|Roads--Texas--Maps|Texas--Maps,Indian Territory|Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:26:51.563000+00:00,2022-12-14T15:26:51.563000+00:00,Map of the state of Texas: engraved to illustrate Mitchell's school and family geography,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,1648288,fedoraAdmin,"Mitchell, S. Augustus (Samuel Augustus), 1792-1868",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/13/pages/page_0/files/1648288.tif,(W 107°--W 93°/N 40°--N 26°),
G3300 1845 .D8,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/42/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/42/orderProxies,"George|Smith, Ch.",false,1845,StillImage,fre,"Guatemala--Maps|Texas--History--Republic, 1836-1846--Maps|Mexico--Maps|Texas--Maps",Texas|Guatemala|Mexico,"Date of object estimated by library to be 1845.|Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas..",2022-12-14T15:37:01.634000+00:00,2022-12-14T15:37:01.634000+00:00,Méxique,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,6419992,fedoraAdmin,"Duvotenay, Th. (Thunot), 1796-1875",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/42/pages/page_0/files/6419992.tif,(W 124°48ʹ00ʺ--W 85°15ʹ00ʺ/N 43°39ʹ00ʺ--N 13°30ʹ00ʺ),
G3292.N4 1779 .A5,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/56/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/56/orderProxies,"Santini, P.|Remondini",false,1779,StillImage,fre,"Florida--Maps|Mexico, Gulf of--Maps|Early maps|New Spain--Maps|Texas--Maps","Mexico, Gulf of|Texas|New Spain|Florida","Held in the Mary and Mavis P. Kelsey Americana Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-16T15:34:12.799000+00:00,2022-12-16T15:34:12.799000+00:00,Carte du Mexique et de la Nouvelle Espagne: contenant la partie australe de l'Amérique Septentle,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,in00004563018,fedoraAdmin,"Anville, Jean Baptiste Bourguignon d', 1697-1782",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/56/pages/page_0/files/00004563018.tif,(W 118°35ʹ00ʺ--W 79°04ʹ00ʺ/N 32°43ʹ00ʺ--N 7°00ʹ00ʺ),
SF85.3 I57 1937,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/22/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/22/pages,United States - Department of Agriculture,false,1937,Text,eng,Range management--United States--Methodology,United States,"Held in the Jeff Dykes Range Livestock Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, in College Station, TX.",2022-12-14T15:29:00.074000+00:00,2022-12-14T15:29:00.074000+00:00,"Instructions for range surveys as formulated by the Inter-Agency Range Survey Committee and adopted by the Western Range Survey Conference, April 24, 1937",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,5545032,fedoraAdmin,,fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/22/pages/page_0/files/5545032_001.tif,,
G4410 1810 .A7,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/26/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/26/pages,,false,1810,StillImage,eng,"Mexico, Valley of (Mexico)--Maps--19th century|Acapulco (Mexico)--Maps--19th century|Texas--Maps--19th century|California--Maps--19th century|Mexico--Maps|Texas--Maps|California--Maps|Mexico--Maps--19th century|Veracruz (Veracruz-Llave, Mexico)--Maps--19th century","California|Acapulco (Mexico)|Mexico|Mexico, Valley of (Mexico)|Veracruz (Veracruz-Llave, Mexico)|Texas","Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-20T16:37:14.536000+00:00,2022-12-20T16:37:14.536000+00:00,A new map of Mexico and adjacent provinces,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,5897398,fedoraAdmin,"Arrowsmith, Aaron, 1750-1823",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/26/pages/page_0/files/5879398_a.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/26/pages/page_1/files/5879398_b.tif,(W 131°--W 87°/N 41°--N 15°),
G3700 1853 .C37,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/57/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/57/pages,,false,1853,StillImage,eng,United States--Maps,United States,"Held in the Mary and Mavis P. Kelsey Americana Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-16T15:35:32.460000+00:00,2022-12-16T15:35:32.460000+00:00,Map of the United States,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,in00004563020,fedoraAdmin,"Case, Tiffany & Co.",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/57/pages/page_0/files/00004563020.tif,(W 125°--W 67°/N 49°--N 8°),
,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/63/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/63/orderProxies,,false,1788,StillImage|Text,fre,New Spain--Maps--Early works to 1800|North America--Maps--Early works to 1800,North America,On loan from a private collection.,2022-12-16T15:36:27.046000+00:00,2022-12-16T15:36:27.046000+00:00,"Carte generale de L'Amerique Septentrionale, comprenant les Possessions Espagnoles in, Histoire Universelle, depuis le Commencement du Monde jusqu à présent, compose en Anglois par une société de Gens de Lettres Nouvellement Traduite en François par une Societe de Gens de Lettres... Tome 114, page 1.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,,fedoraAdmin,"Brion, Louis de la Tour",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/63/pages/page_0/files/Brion1.tif,,
G4030 1830 .A9,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/67/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/67/pages,"Mier y Teran, Manuel de|Tanner, Henry Schenck|Warr, John",false,1830,StillImage|Text,eng,Texas--Maps|Land Grants--Texas--Maps,Texas|Chihuahua|Coahuila|Nuevo Leon|Tamaulipas|Louisiana,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-20T19:24:42.084000+00:00,2022-12-20T19:24:42.084000+00:00,Map of Texas with Parts of the Adjoining States,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,,fedoraAdmin,"Austin, Stephen F.",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/67/pages/page_0/files/SFA_Map.tif,W 102⁰--W 94⁰/N 34⁰--N 26,
G4410 1824 .B5,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/47/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/47/orderProxies,"Fisher, Henry",false,1824,StillImage,eng,Texas--Maps|Southwestern States--Maps|Mexico--Maps,Mexico|Southwestern States|Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:38:01.620000+00:00,2022-12-14T15:38:01.620000+00:00,Mexico &c.,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,6495231,fedoraAdmin,"Bingley, Jas. (James)",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/47/pages/page_0/files/6495231.tif,(W 120°--W 75°/N 35°--N 10°),
G3700 1838 .L3,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/28/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/28/orderProxies,"Lapie, Alexandre Émile",false,1838,StillImage,fre,"United States--Maps|Texas--History--Republic, 1836-1846--Maps",United States|Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-20T16:43:33.442000+00:00,2022-12-20T16:43:33.442000+00:00,"Carte des États-Unis d'Amérique: du Canada, du Nouveau Brunswick, et d'une parte de la Nouvelle Bretagne",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,5946902,fedoraAdmin,"Lapie, M. (Pierre), 1779-1850",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/28/pages/page_0/files/5946902.tif,(W 134°--W 62°/N 52°--N 24°),
G4030 1839 .H8,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/68/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/68/orderProxies,,false,1839,StillImage|Text,eng,Texas--maps and charts,Texas,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-16T15:37:53.369000+00:00,2022-12-16T15:37:53.369000+00:00,"Map of Texas, compiled from surveys on record in the General Land Office of the Republic, to the year 1839, by R.S. Hunt and J.F. Randel. (Map of the Rio Grande and the Country west to the Pacific)",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,,fedoraAdmin,"Randel, Jesse F.",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/68/pages/page_0/files/TN27939.tif,,
F786 .U45 1857b Vol. 1,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/5/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/5/pages,"Schott, Arthur--1814-1875|Hall, James--1811-1898|Emory, William H.--(William Hemsley)--1811-1887|Baird, Spencer Fullerton--1811-1877|Girard, Charles Frederic--1822-1895|Conrad, T.A.--(Timothy Abbott)--1803-1877|Torrey, John--1796-1873|Parry, C.C.--(Charles Christopher)--1823-1890|Englemann, George--1809-1884",false,1857,Text|StillImage,eng,"Botany--Southwest, New|Geology--Southwest, New|Zoology--Southwest,New|United States--Boundaries--Mexico|Mexico--Boundaries--United States|Rio Grande (Colo.-Mexico and Tex.)","Rio Grande (Colo.-Mexico and Tex.)|United States|Mexico|Southwest, New","Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:25:11.878000+00:00,2022-12-14T15:25:11.878000+00:00,Report on the United States and Mexican boundary survey ; made under the direction of the secretary of the Interior,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,776519,fedoraAdmin,United States. Department of the Interior,fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/5/pages/page_0/files/776519_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/5/pages/page_1/files/776519_2.tif,,
TA545 .G4 1798,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/2/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/2/pages,,false,1798,Text,eng,Surveying--Early works to 1800,,"Held in the Rare Books Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:24:07.652000+00:00,2022-12-14T15:24:07.652000+00:00,A treatise of practical surveying,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,reformatted digital|application/tif,14311,fedoraAdmin,"Gibson, Robert.",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/2/pages/page_0/files/14311_1.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/2/pages/page_1/files/14311_2.tif,,
G4410 1574 .R8,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/32/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/32/pages,,false,1574,StillImage,lat,Mexico--Maps--Early works to 1800|Central America--Maps--Early works to 1800|Southern States--Maps--Early works to 1800,Central America|Southern States|Mexico,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-14T15:34:51.110000+00:00,2022-12-14T15:34:51.110000+00:00,Nueva Hispania tabula nova,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,5966669,fedoraAdmin,"Ruscelli, Girolamo, -approximately 1565",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/32/pages/page_0/files/5966669_a.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/32/pages/page_1/files/5966669_b.tif,(W 118°35ʹ00ʺ--W 79°25ʹ00ʺ/N 32°43ʹ00ʺ--N 10°05ʹ00ʺ),
G4410 1845 .R33,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/36/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/36/orderProxies,Bibliographisches Institut Leipzig,false,1845,StillImage,ger,"Southwest, New--Maps|Indians of Mexico|Mines and mineral resources|Indians of Mexico--Maps|Mexico--Maps|Texas--Maps|Mines and mineral resources--Mexico--Maps",Texas|New Southwest|Mexico,"Held in the Floyd & Louise Chapman Texas & Borderlands Collection at Cushing Memorial Library & Archives on the campus of Texas A&M University, College Station, Texas.",2022-12-16T15:31:40.660000+00:00,2022-12-16T15:31:40.660000+00:00,Neueste karte von Mexico: nach den besten Quellen entw. u. gezeichen,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects,application/tif|reformatted digital,5966673,fedoraAdmin,"Radefeld, Carl Christian Franz, 1788-1874",fedoraAdmin,A copyright review process in April 2022 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/charting-texas-revised_objects/36/pages/page_0/files/5966673.tif,(W 125°--W 95°/N 40°--N 15°),
