dcterms_type,dcterms_lcc,dc_title,dc_language,dc_creator,fedora_writable,fedora_createdBy,dc_type,dc_description,fedora_hasParent,fedora_lastModifiedBy,ldp_contains,fedora_created,dc_contributor,dc_publisher,dc_coverage,dc_format,dc_subject,dc_date,dcterms_extent,fedora_lastModified,dc_identifier,dc_rights,files,dcterms_spatial
Still Image|Cartographic Image,G5750 s63 .G73,Ordnance Survey of England and Wales.,eng,Great Britain Ordnance Survey,false,fedoraAdmin,Maps,Scale 1:63 360. 1 in. = 1 statute mile|Relief shown by contours and spot heights. Depth shown by contours|Cartographic material|Ordnance Survey of England & Wales|Some cloth backed|Ordnanve Survey of England|Various edition styles,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/25/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/25/orderProxies,2023-08-09T20:55:43.242000+00:00,Great Britain War Office General Staff Geographical Section,War Office,Wales--Maps|England--Maps,reformatted digital,Wales--Maps|England--Maps,1941-,maps color 47 x 69 cm,2023-08-09T20:55:43.242000+00:00,4015521,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/25/pages/page_0/files/londonmaps_4015521_1.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/25/pages/page_1/files/londonmaps_4015521_2.jpg,
Still Image|Cartographic Image,G5750 1805 .G7 1969,The first edition of the one inch Ordnance Survey: a reprint covering England and Wales in 97 sheets,eng,Great Britain Ordnance Survey,false,fedoraAdmin,Topographic maps,"Cartographic material|71. London [O.S. 7] (1969) -- 72. Brentwood [O.S. 1] (1969) -- 79. Dorking [O.S. 8] (1969) -- 79. Dorking [O.S. 8] (1969)|Relief shown by shading and spot heights|One inch Ordnance Survey|Originally published between 1805 and 1873|Includes bibliographical references|Original edition commonly known as the First edition or Old series|Also issued with folded sheets within covers|Sheet index to original and reprint eds. on verso of prospectus|Title from prospectus|Scale [ca. 1:63,360]. 1 in. to a statute mile (W 5Â°50Ê¹--E 1Â°55Ê¹/N 55Â°52Ê¹--N 50Â°03Ê¹)|Originally issued in 110 sections, with some of the sections divided into 4 quarter sheets|Each sheet includes text by J.B. Harley",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/42/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/42/pages,2023-08-09T21:02:14.897000+00:00,"Harley, J. B. (John Brian)|David & Charles (Publishers)",David & Charles,Wales--Maps|England--Maps,reformatted digital,Wales--Maps|England--Maps,1969-1971.,"1 map on 97 sheets approximately 1020 x 875 cm., sheets 76 x 101 cm",2023-08-09T21:02:14.897000+00:00,4033692,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/42/pages/page_0/files/londonmaps_4033692_1.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/42/pages/page_1/files/londonmaps_4033692_2.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/42/pages/page_2/files/londonmaps_4033692_3.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/42/pages/page_3/files/londonmaps_4033692_4.jpg,(W 5°50'--E 1°55'/N 55°52'--N 50°03')
Still Image|Cartographic Image,G5754.W54N46 1850 .L7,"King's College Pond Sewer, Tybourne.",eng,London County Council,false,fedoraAdmin,Maps,"Scale not given|Cartographic material|The Tyburn is a stream in London, which runs underground from South Hampstead through St. James's Park to meet the River Thames at Pimlico near Vauxhall Bridge. Before it was covered over, the Tyburn arose from the confluence of two tributary streams from the hills of Hampstead. At what is now St. James's Park, it split into three branches, two of which formed Thorney Island on which Westminster Abbey was built. The Tyburn is now completely enclosed and flows through underground conduits for its entire length, including one underneath Buckingham Palace. Marylebone Lane (W1) follows the course of the Tyburn on what was its left bank through Marylebone village. From its source at the Shepherd's Well near Fitzjohns Avenue in Hampstead it flowed south through Swiss Cottage down to Regent's Park. In the park the Tyburn is carried in an aqueduct over the Regent's Canal. The sewer is now officially titled the King's Scholar's Pond Sewer,",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/33/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/33/pages,2023-08-09T20:58:57.410000+00:00,,[London County Council?],"Westminster (London, England)--Maps|Tyburne, River (England)--Maps",reformatted digital,"Westminster (London, England)--Maps|Tyburne, River (England)--Maps|Sewerage--England--London--Maps",[between 1850 and 1869?],1 map overlay 59 x 35 cm,2023-08-09T20:58:57.410000+00:00,4026214,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/33/pages/page_0/files/londonmaps_4026214.jpg,
Cartographic image,G5754.L7 1746 .R63 1878,"An exact survey of the citys of London, Westminster, ye borough of Southwark and the country near ten miles round begun in 1741 & ended in 1745",eng,"Rocque, John, -1762",false,fedoraAdmin,Maps,"Accurata descriptio urbium Londinensis et Westmonasteriensis, nec non municipii Southwarkensis, et universae regionis ad decem fere undique millia passuum, incepta anno 1741 et absoluta anno 1745|Carte topographique des villes de Londres et de Westminster, du bourg de Southwark, et de leurs environs leveÌ€ treÌ€s exactement fur les lieux par Jean Rocque en 1741, et finis en 1745|Cartographic material|Scale [ca. 1:12,000]|Carte topographique des villes de Londres et de Westminster, du bourg de Southwark, et de leurs environs leveÌ€ [sic] treÌ€s exactement fur les lieux par Jean Rocque en 1741, et finis en 1745|Photolithograph|Title vignette",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages,2023-08-09T20:43:12.675000+00:00,,Edward Stanford,City of London (England)--History--Maps--Facsimiles|City of London (England)--Maps--Early works to 1800--Facsimiles|London (England)--Maps--Early works to 1800--Facsimiles|London (England)--History--Maps--Facsimiles,reformatted digital,City of London (England)--History--18th century--Maps--Facsimiles|London (England)--History--18th century--Maps--Facsimiles|City of London (England)--Maps--Early works to 1800--Facsimiles|London (England)--Maps--Early works to 1800--Facsimiles,1878,1 map on xvi sheets 16 leaves of maps on sheets 52 x 71 cm,2023-08-09T20:43:12.675000+00:00,3964499,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_0/files/londonmaps_3964499_01.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_1/files/londonmaps_3964499_02.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_2/files/londonmaps_3964499_03.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_3/files/londonmaps_3964499_04.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_4/files/londonmaps_3964499_05.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_5/files/londonmaps_3964499_06.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_6/files/londonmaps_3964499_07.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_7/files/londonmaps_3964499_08.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_8/files/londonmaps_3964499_09.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_9/files/londonmaps_3964499_10.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_10/files/londonmaps_3964499_11.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_11/files/londonmaps_3964499_12.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_12/files/londonmaps_3964499_13.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_13/files/londonmaps_3964499_14.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_14/files/londonmaps_3964499_15.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_15/files/londonmaps_3964499_16.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/13/pages/page_16/files/londonmaps_3964499_17.jpg,
Still Image,G5754.L7A3 164- .H6 1902,Plan of area now west central part of London,eng,"Hollar, Wenceslaus, 1607-1677",false,fedoraAdmin,Aerial views,"Perspective map not drawn to scale|Facsimile|""Walker & Cockerell, ph. sc.""|Cushing Library copy is part of the Stephen Powys Marks London Collection|Cartographic material|Bird's-eye-view",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/10/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/10/orderProxies,2023-08-09T20:41:02.167000+00:00,London Topographical Society,London Topographical Society,London (England)--Aerial views--Early works to 1800--Facsimiles,reformatted digital,London (England)--Aerial views--Early works to 1800--Facsimiles,[between 1640 and 1649?] 1902.,map 34 x 44 cm,2023-08-09T20:41:02.167000+00:00,2587956,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/10/pages/page_0/files/londonmaps_2587956.jpg,
Cartographic Image|Still Image,G5754.L7A3 1660 .P6 1898,"Map of London and Westminster, ab. A.D. 1660",eng,"Porter, Thomas, active 1654-1668",false,fedoraAdmin,Aerial views,"""Walker & Boutall, ph. sc.""|Newest and exactest mapp of the most famous citties, London and Westminster, with their suburbs; and the manner of their streets, with the names of the chiefest of them ..|Has watermark|Text on cover|Cartographic material|Bird's-eye-view|""Reproduced from the practically unique example in the library of the Society of Antiquaries.""|Scale [ca. 1:15,000]|Includes text, index, and 2 coats of arms|[London]: Printed & sould by Robt. Walton, 1660",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/21/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/21/pages,2023-08-09T20:53:13.388000+00:00,"Walton, Robert,|London Topographical Society",London Topographical Society,"Westminster (London, England)--Aerial views--Early works to 1800--Facsimiles|London (England)--Aerial views--Early works to 1800--Facsimiles",reformatted digital,"Westminster (London, England)--Aerial views--Early works to 1800--Facsimiles|London (England)--Aerial views--Early works to 1800--Facsimiles",1898,1 map 29 x 77 cm. on 2 sheets 57 x 75 cm. in cover 79 x 58 cm,2023-08-09T20:53:13.388000+00:00,4002150,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/21/pages/page_0/files/londonmaps_4002150_1.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/21/pages/page_1/files/londonmaps_4002150_2.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/21/pages/page_2/files/londonmaps_4002150_3.jpg,
Still Image,G5754.L7A35 1720 .K5 1903,"A prospect of the city of London, Westminster and St. James Park: veue et perspective de la ville de Londre, Westminster et Parc St. Jacques",eng,"Kip, Johannes, 1653-1722",false,fedoraAdmin,Pictorial works,"View of London and Westminster by John Kip, circa 1710-1720|Veue et perspective de la ville de Londre, Westminster et Parc St. Jacques|Not drawn to scale|""To Her Royal Highness Wilhelmina Carolina, the most illustrious Princess of Wales, this prospect of London, Westminster & St. James's Park is most humbly dedicated by John Kip.""|In lower margin: Key to selected buildings or places of interest, part in French and part in English|Crace, p.158|Cushing Library copy is part of the Stephen Powys Marks London Collection|Panorama|Cartographic material",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/3/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/3/orderProxies,2023-08-09T20:44:16.488000+00:00,,London Topographical Society,London (England)--Pictorial works--Early works to 1800--Facsimiles,reformatted digital,London (England)--Pictorial works--Early works to 1800--Facsimiles,1903,"1 view on 12 sheets 124 x 206 cm., sheets 56 x 61 cm",2023-08-09T20:44:16.488000+00:00,2578398,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/3/pages/page_0/files/londonmaps_2578398_01.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/3/pages/page_1/files/londonmaps_2578398_02.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/3/pages/page_2/files/londonmaps_2578398_03.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/3/pages/page_3/files/londonmaps_2578398_04.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/3/pages/page_4/files/londonmaps_2578398_05.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/3/pages/page_5/files/londonmaps_2578398_06.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/3/pages/page_6/files/londonmaps_2578398_07.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/3/pages/page_7/files/londonmaps_2578398_08.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/3/pages/page_8/files/londonmaps_2578398_09.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/3/pages/page_9/files/londonmaps_2578398_10.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/3/pages/page_10/files/londonmaps_2578398_11.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/3/pages/page_11/files/londonmaps_2578398_12.jpg,
Still Image|Cartographic image,G5754.L7 1677 .O3 1894,"A large and accurate map of the city of London: ichnographically describing all the streets, lanes, alleys, courts, yards, churches, halls and houses, &c.",eng,"Ogilby, John, 1600-1676",false,fedoraAdmin,Maps,"Cushing Library copies are part of the Stephen Powys Marks London Collection|Scale [ca.1:1,230] . 1 in. = 100 [ft.]|""Facsimile reproduction of Ogilby and Morgan's map of London, 1677, with the key thereto. Edited for the London and Middlesex Archaeological Society, with an instroduction, by Charles Welch.""--Sheet 5|Cartographic material|Cushing Library/London Collection one copy is on canvas backing and one copy is unnumbered",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/orderProxies,2023-08-09T20:47:38.942000+00:00,"Morgan, William, -1690|Welch, Charles, 1848-1924|London and Middlesex Archaeological Society",London and Middlesex Archaeological Society,London (England)--Maps--Early works to 1800--Facsimiles,reformatted digital,London (England)--Maps--Early works to 1800--Facsimiles,1894,1 map on 21 sheets 44 x 57 cm,2023-08-09T20:47:38.942000+00:00,2579936,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_0/files/2579936_01.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_1/files/2579936_02.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_2/files/2579936_03.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_3/files/2579936_04.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_4/files/2579936_05.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_5/files/2579936_06.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_6/files/2579936_07.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_7/files/2579936_08.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_8/files/2579936_09.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_9/files/2579936_10.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_10/files/2579936_11.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_11/files/2579936_12.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_12/files/2579936_13.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_13/files/2579936_14.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_14/files/2579936_15.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_15/files/2579936_16.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_16/files/2579936_17.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_17/files/2579936_18.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_18/files/2579936_19.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_19/files/2579936_20.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_20/files/2579936_21.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_21/files/2579936_22.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_22/files/2579936_23.jpg|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/8/pages/page_23/files/2579936_24.jpg,
Still Image|Cartographic Image,G5754.W54N46 1779 .G77,"Plan of the intended sewer at Stratford Place petitioned for by Earl Poulett: see minutes of the Committee of Works, 2nd June 1779",eng,Great Britain Commissioners of Sewers for Westminster and Part of Middlesex,false,fedoraAdmin,Maps,"King's Scholar's Pond Sewer, formerly the River Tyburn, also formerly known as the Aye Brook|Cartographic material|Scale [ca. 1:179]",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/31/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/31/orderProxies,2023-08-09T20:58:18.214000+00:00,"Poulett, John Poulett, 1756-1819",Sewers Westminster &c.,"Westminster (London, England)--Maps|Tyburne, River (England)--Maps",reformatted digital,"Tyburne, River (England)--Maps|Sewerage--England--London--Maps|Westminster (London, England)--Maps",[between 1810 and 1929?],1 map color on sheet 43 x 52 cm,2023-08-09T20:58:18.214000+00:00,4026210,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/london-maps-2-2023-08-09_objects/31/pages/page_0/files/londonmaps_4026210.jpg,
