fedora_lastModifiedBy,fedora_hasParent,dc_language,dcterms_type,ldp_contains,dcterms_spatial,fedora_created,fedora_lastModified,fedora_createdBy,dc_title,fedora_writable,dcterms_extent,dc_identifier,dcterms_issued,dc_rights,dcterms_isPartOf,dc_coverage,dc_description,dc_creator,files,dcterms_abstract
fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects,lat,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/10/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/10/orderProxies,Bristol (England)|England,2026-02-17T19:20:35.044000+00:00,2026-02-17T19:20:35.044000+00:00,fedoraAdmin,Brightstowe.,false,"1 map : colored ; 33 x 42 cm, on sheet 41 x 54 cm",https://n2t.net/ark:/81423/d2bw6b,[1580?],http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,W 2°36ʹ28ʺ--W 2°34ʹ45ʺ/N 51°27ʹ39ʺ--N 51°26ʹ40ʺ,Derived from a 1568 drawing by William Smith; see R.A. Skeltons Introduction to the 1980 facs. ed. of Civitates orbis terrarum.,"Braun, Georg, 1540 or 1541-1622",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/10/pages/page_0/files/G5754-B8_1580_-B7_a.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/10/pages/page_1/files/G5754-B8_1580_-B7_b.tif,
fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects,lat,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/6/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/6/pages,"Marmara, Sea of (Turkey)|Thessaly (Greece)|Mediterranean Region",2026-02-17T19:21:56.914000+00:00,2026-02-17T19:21:56.914000+00:00,fedoraAdmin,Agronavtica,false,"1 map : hand colored ; 34 x 50 cm, on sheet 43 x 55 cm",https://n2t.net/ark:/81423/d24d0c,[1624?],http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,E 4°53ʹ00ʺ--E 42°22ʹ00ʺ/N 47°30ʹ00ʺ--N 30°02ʹ00ʺ,,,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/6/pages/page_0/files/G5672-M4_1624_-O77.tif,
fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects,eng,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/13/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/13/orderProxies,,2026-02-17T19:21:56.117000+00:00,2026-02-17T19:21:56.117000+00:00,fedoraAdmin,The countye of Monmouth : with the sittuation of the shire-towne described Ann 1610,false,1 map : hand colored ; on sheet 45 x 59 cm,https://n2t.net/ark:/81423/d23d1f,[1676?],http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,W 3°21ʹ11ʺ--W 2°29ʹ36ʺ/N 51°53ʹ25ʺ--N 51°28ʹ26ʺ,,"Speed, John, 1552?-1629|Chiswell, Richard",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/13/pages/page_0/files/G5763-M55_1610_-S63_1676_a.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/13/pages/page_1/files/G5763-M55_1610_-S63_1676_b.tif,
fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects,lat,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/9/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/9/orderProxies,France|Gaul,2026-02-17T19:22:28.272000+00:00,2026-02-17T19:22:28.272000+00:00,fedoraAdmin,Gallia vetvs : ad Iul Caesaris commentaria ex conatibus geographicis,false,1 map : hand colored ; on sheet 46 x 57 cm,https://n2t.net/ark:/81423/d2r330,[1624?],http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,W 5°44ʹ00ʺ--E 8°43ʹ00ʺ/N 51°51ʹ00ʺ--N 42°18ʹ00ʺ,,"Ortelius, Abraham, 1527-1598",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/9/pages/page_0/files/G5722-S1_-O77_1624_a.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/9/pages/page_1/files/G5722-S1_-O77_1624_b.tif,
fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects,fre,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/16/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/16/orderProxies,France,2026-02-17T19:21:36.940000+00:00,2026-02-17T19:21:36.940000+00:00,fedoraAdmin,Carte geographicque des postes qui traversent la France : dediée,false,1 map : hand colored ; 41 x 52 cm,https://n2t.net/ark:/81423/d2q342,1632,http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,W 6°01ʹ00ʺ--E 9°58ʹ00ʺ/N 51°38ʹ00ʺ--N 42°06ʹ00ʺ,"Includes message in separate text book ""Au lecteur"" [To the reader] in which Tavernier explains how Nicolas Sanson executed the map at his request.","Sanson, Nicolas, 1600-1667|Tavernier, Melchior, -1641",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/16/pages/page_0/files/G5831-P8_1632_-S36.tif,
fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects,ger,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/11/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/11/orderProxies,Salzburg (Austria),2026-02-17T19:22:00.359000+00:00,2026-02-17T19:22:00.359000+00:00,fedoraAdmin,Salczburga,false,"1 map : colored ; 25 x 51 cm, on sheet 41 x 56 cm",https://n2t.net/ark:/81423/d2wp80,[1493?],http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,E 13°00ʹ19ʺ--E 13°04ʹ55ʺ/N 47°49ʹ34ʺ--N 47°47ʹ14ʺ,,"Schedel, Hartmann, 1440-1514",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/11/pages/page_0/files/G6494-S2_1493_-S3_a.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/11/pages/page_1/files/G6494-S2_1493_-S3_b.tif,
fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects,dut,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/7/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/7/pages,Mediterranean Region,2026-02-17T19:22:08.797000+00:00,2026-02-17T19:22:08.797000+00:00,fedoraAdmin,"Geographische beschryvinge, van de wandeling der apostelen ende de reysen Pauli : mitsgaders de landen ende rycken daar sij het Evangeliū eerst hebben vercondicht",false,1 map :  hand colored ; 31 x 48 cm,https://n2t.net/ark:/81423/d20k98,[1642?],http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,E 12°29ʹ00ʺ--E 48°58ʹ00ʺ/N 45°46ʹ00ʺ--N 28°56ʹ00ʺ,,"Visscher, Claes Jansz., 1586 or 1587-1652",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/7/pages/page_0/files/G5672-M4E42_1642_-V57_a.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/7/pages/page_1/files/G5672-M4E42_1642_-V57_b.tif,
fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects,lat,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/4/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/4/orderProxies,Mexico|Mexico City (Mexico)|Peru|Cuzco (Peru),2026-02-17T19:21:49.354000+00:00,2026-02-17T19:21:49.354000+00:00,fedoraAdmin,Mexico Regia,false,,https://n2t.net/ark:/81423/d2cs70,[1572?],http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,W 71°59ʹ46ʺ--W 71°53ʹ43ʺ/S 13°30ʹ04ʺ--S 13°33ʹ31ʺ|W 99°13ʹ42ʺ--W 99°01ʹ44ʺ/N 19°28ʹ34ʺ--N 19°17ʹ06ʺ,,"Braun, Georg, 1540 or 1541-1622",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/4/pages/page_0/files/G4414-M48_1572_-B7_a.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/4/pages/page_1/files/G4414-M48_1572_-B7_b.tif,
fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects,dut,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/14/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/14/pages,Irish Sea|Saint George's Channel (Ireland and Wales),2026-02-17T19:21:35.517000+00:00,2026-02-17T19:21:35.517000+00:00,fedoraAdmin,"Nieuwe Pas-kaert Vande oost Kust van Yrland : beginnende van de hoeck van Waterfoort tot aen de Mayds, als mede de west Kust van Engeland Van S. David tot Moul van Galoway met al syn diepte en droochte, dus veer Nauwkeurich opgestelt en noyt voor desen diergelycken in't licht gebracht",false,1 map : hand colored ; 50 x 58 cm,https://n2t.net/ark:/81423/d2zk8k,[1682?],http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,W 6°50ʹ00ʺ--W 2°37ʹ00ʺ/N 54°59ʹ00ʺ--N 51°49ʹ00ʺ,,"Keulen, Johannes van, 1654-1715",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/14/pages/page_0/files/G5782-S2_1682_-K48.tif,
fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects,lat,cartographic image,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/12/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/12/orderProxies,England|Canterbury (England),2026-02-17T19:21:58.877000+00:00,2026-02-17T19:21:58.877000+00:00,fedoraAdmin,Cantvarbvry,false,"1 map : color ; 28 x 42 cm, on sheet 41 x 53 cm",https://n2t.net/ark:/81423/d2733b,[1588?],http://rightsstatements.org/vocab/NoC-US/1.0/,Ronald L. and V. Jane Woellhof Rare Map Collection,E 1°04ʹ17ʺ--E 1°05ʹ14ʺ/N 51°16ʹ56ʺ--N 51°16ʹ26ʺ,,"Braun, Georg, 1540 or 1541-1622|Hogenberg, Frans, approximately 1539-1590",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/12/pages/page_0/files/G5754-C25_1588_-B7_a.tif|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/woellhof-2_objects/12/pages/page_1/files/G5754-C25_1588_-B7_b.tif,
