fedora_writable,fedora_hasParent,ldp_contains,fedora_lastModifiedBy,fedora_created,fedora_createdBy,fedora_lastModified,dc_title,files
false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/aerial_objects,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/aerial_objects/2/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/aerial_objects/2/pages,fedoraAdmin,2025-08-06T17:21:54.924000+00:00,fedoraAdmin,2025-08-06T17:21:54.924000+00:00,Aerial JPF at 1200 dpi,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/aerial_objects/2/pages/page_0/files/Aerial%20photograph%201940-1945.jpf
false,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/aerial_objects,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/aerial_objects/3/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/aerial_objects/3/pages,fedoraAdmin,2025-08-06T17:22:11.726000+00:00,fedoraAdmin,2025-08-06T17:22:11.726000+00:00,Aerial Rescan at 600 dpi,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/aerial_objects/3/pages/page_0/files/aerial-rescan.jp2
