dc_subject,dcterms_created,ldp_contains,fedora_hasParent,dcterms_spatial,dcterms_type,fedora_lastModified,dc_rights,fedora_createdBy,fedora_created,dc_contributor,fedora_lastModifiedBy,dc_publisher,dc_title,fedora_writable,dc_format,files
Texas--College Station|Texas A & M University. College of Medicine|Pictorial works|Portraits|Medical students,2000,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/21/orderProxies|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/21/pages,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,College Station (Tex.)|Texas|United States,StillImage|Portraits|Photographs,2020-11-20T17:07:32.834000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:07:32.834000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 2000, Texas A&M University System Health Science Center College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/21/pages/page_0/files/COMClass2000.jpg
Pictorial works|Portraits|Medical students|Texas--College Station|Texas A & M University. College of Medicine,1988,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/9/orderProxies|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/9/pages,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,Texas|United States|College Station (Tex.),Portraits|Photographs|StillImage,2020-11-20T17:12:17.512000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:12:17.512000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 1988, Texas A&M University College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/9/pages/page_0/files/COMClass1988.jpg
Medical students|Texas--College Station|Texas A & M University. College of Medicine|Pictorial works|Portraits,1987,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/8/orderProxies|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/8/pages,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,College Station (Tex.)|Texas|United States,Photographs|StillImage|Portraits,2020-11-20T17:12:04.003000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:12:04.003000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 1987, Texas A&M University College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/8/pages/page_0/files/COMClass1987.jpg
Medical students|Texas--College Station|Texas A & M University. College of Medicine|Pictorial works|Portraits,2011,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/32/orderProxies|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/32/pages,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,United States|College Station (Tex.)|Texas,Portraits|Photographs|StillImage,2020-11-20T17:10:15.639000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:10:15.639000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 2011, Texas A&M Health Science Center College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/32/pages/page_0/files/COMClass2011.jpg
Medical students|Texas--College Station|Texas A & M University. College of Medicine|Pictorial works|Portraits,2008,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/29/pages|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/29/orderProxies,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,United States|College Station (Tex.)|Texas,Portraits|Photographs|StillImage,2020-11-20T17:09:21.532000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:09:21.532000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 2008, Texas A&M Health Science Center College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/29/pages/page_0/files/COMClass2008.jpg
Pictorial works|Portraits|Medical students|Texas--College Station|Texas A & M University. College of Medicine,2009,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/30/pages|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/30/orderProxies,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,United States|College Station (Tex.)|Texas,Portraits|Photographs|StillImage,2020-11-20T17:09:48.544000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:09:48.544000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 2009, Texas A&M Health Science Center College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/30/pages/page_0/files/COMClass2009.jpg
Texas--College Station|Texas A & M University. College of Medicine|Pictorial works|Portraits|Medical students,2006,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/27/orderProxies|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/27/pages,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,College Station (Tex.)|Texas|United States,StillImage|Portraits|Photographs,2020-11-20T17:08:54.279000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:08:54.279000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 2006, Texas A&M Health Science Center College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/27/pages/page_0/files/COMClass2006.jpg
Pictorial works|Portraits|Medical students|Texas--College Station|Texas A & M University. College of Medicine,2005,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/26/orderProxies|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/26/pages,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,Texas|United States|College Station (Tex.),Portraits|Photographs|StillImage,2020-11-20T17:08:40.786000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:08:40.786000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 2005, Texas A&M University System Health Science Center College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/26/pages/page_0/files/COMClass2005.jpg
Pictorial works|Portraits|Medical students|Texas--College Station|Texas A & M University. College of Medicine,2003,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/24/orderProxies|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/24/pages,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,Texas|United States|College Station (Tex.),Portraits|Photographs|StillImage,2020-11-20T17:08:13.647000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:08:13.647000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 2003, Texas A&M University System Health Science Center College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/24/pages/page_0/files/COMClass2003.jpg
Medical students|Texas--College Station|Texas A & M University. College of Medicine|Pictorial works|Portraits,1993,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/14/pages|https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/14/orderProxies,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects,United States|College Station (Tex.)|Texas,Portraits|Photographs|StillImage,2020-11-20T17:05:43.594000+00:00,In copyright - Educational use permitted; For more information about rights and restrictions relating to this resource go to: http//rightstatement.org/vocab/InC-EDU/1.0/,fedoraAdmin,2020-11-20T17:05:43.594000+00:00,Texas A & M University. College of Medicine,fedoraAdmin,Texas A & M University. Libraries,"Class of 1993, Texas A&M University College of Medicine",false,reformatted digital,https://api.library.tamu.edu/fcrepo/rest/a6/f0/55/01/a6f05501-9312-4fd5-a167-f7ce2fa28ca6/com_class_rosters_objects/14/pages/page_0/files/COMClass1993.jpg
