dc_subject,dcterms_isPartOf,dc_type,fedora_created,dc_summary,fedora_lastModified,fedora_lastModifiedBy,dcterms_issued,dc_rights,dcterms_extent,fedora_writable,dcterms_type,dc_publisher,dc_title,fedora_hasParent,dc_format,ldp_contains,dc_description,dc_creator,dc_language,fedora_createdBy,dc_identifer,files
Petroleum reserves|Ecologists|Smuggling|Nuclear weapons|Climatic changes|Arctic regions|Technology|Global warming,Science Fiction & Fantasy Research Collection,Action and adventure fiction|Science fiction|Thrillers (Fiction)|book jackets|Ecofiction,2022-11-22T17:08:26.539000+00:00,"In a future Earth decimated by global warming where rival countries fight to claim massive amounts of oil beneath the newly accessible ocean, an innovative corporation creates a technology that can both cool the planet and provide a massive super-weapon, prompting airship pilot Anika Duncan to be swept up by an international plot.",2022-11-22T17:08:26.539000+00:00,fedoraAdmin,2012,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",Book cover,false,Text|StillImage,Tor,Arctic rising,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2_objects,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2_objects/17/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2_objects/17/orderProxies,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.","Buckell, Tobias S.",eng,fedoraAdmin,3971627,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2_objects/17/pages/page_0/files/Scifi2021BuckellArcticRising.jpg
Dystopias|Young women|Civil war|United States--Louisiana,Science Fiction & Fantasy Research Collection,War fiction|book jackets|Dystopian fiction|Science fiction,2022-11-28T17:24:09.713000+00:00,"In this debut novel featuring  a second American Civil War, a devastating plague, and one family caught deep in the middle, the story  asks what might happen if America were to turn its most devastating policies and deadly weapons upon itself. Sarat Chestnut, born in Louisiana, is only six when the Second American Civil War breaks out in 2074. But even she knows that oil is outlawed, that Louisiana is half underwater, and that unmanned drones fill the sky. When her father is killed and her family is forced into Camp Patience for displaced persons, she begins to grow up shaped by her particular time and place. But not everyone at Camp Patience is who they claim to be. Eventually Sarat is befriended by a mysterious functionary, under whose influence she is turned into a deadly instrument of war. The decisions that she makes will have tremendous consequences not just for Sarat but for her family and her country, rippling through generations of strangers and kin alike.",2022-11-28T17:24:09.713000+00:00,fedoraAdmin,2017,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",Book cover,false,Text|StillImage,Alfred A. Knopf,American war,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2_objects,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2_objects/9992/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2_objects/9992/pages,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.","El Akkad, Omar, 1982-",eng,fedoraAdmin,5431241,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2_objects/9992/pages/page_0/files/Scifi2021ElAkkadAmerican.jpg
Vermont|Man-woman relationships|Climatic changes|Storms,Science Fiction & Fantasy Research Collection,Psychological fiction|book jackets|Ecofiction|Domestic fiction,2022-11-22T17:08:07.085000+00:00,"""Ash and Pia move from hipster Brooklyn to rustic Vermont in search of a more authentic life. But just months after settling in, the forecast of a superstorm disrupts their dream. Fear of an impending disaster splits their tight-knit community and exposes the cracks in their marriage. Where Isole was once a place of old farm families, rednecks and transplants, it now divides into paranoid preppers, religious fanatics and government tools, each at odds about what course to take.""--Page 4 of cover.",2022-11-22T17:08:07.085000+00:00,fedoraAdmin,[2016],"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",Book cover,false,StillImage|Text,MIRA,We are unprepared : a novel,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2_objects,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2_objects/16/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2_objects/16/orderProxies,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.","Reilly, Meg Little",eng,fedoraAdmin,5969010,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2_objects/16/pages/page_0/files/Scifi2021LittleReillyWe.jpg
Time travel|Actors,Science Fiction & Fantasy Research Collection,book jackets|Science fiction|Apocalyptic fiction,2022-11-22T17:08:26.377000+00:00,"One snowy night a famous Hollywood actor slumps over and dies onstage during a production of King Lear. Hours later, the world as we know it begins to dissolve. Moving back and forth in time-from the actor's early days as a film star to fifteen years in the future, when a theater troupe known as the Traveling Symphony roams the wasteland of what remains-this suspenseful, elegiac, spellbinding novel charts the strange twists of fate that connect five people: the actor, the man who tried to save him, the actor's first wife, his oldest friend, and a young actress with the Traveling Symphony, caught in the crosshairs of a dangerous self-proclaimed prophet.",2022-11-22T17:08:26.377000+00:00,fedoraAdmin,2014,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",Book cover,false,StillImage|Text,Alfred A. Knopf,Station eleven,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2_objects,reformatted digital,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2_objects/59/pages|https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2_objects/59/orderProxies,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.","Mandel, Emily St. John, 1979-",eng,fedoraAdmin,4801392,https://api-pre.library.tamu.edu/fcrepo/rest/5d/55/f9/80/5d55f980-a60b-45c2-b10c-2aacd40f34a8/scifi-exhibit-2021-pass-f-stragglers2_objects/59/pages/page_0/files/Scifi2021StJohnMandelStation.jpg
