dc_title,dc_description,fedora_hasParent,fedora_lastModified,fedora_createdBy,fedora_writable,fedora_lastModifiedBy,ldp_contains,fedora_created,dcterms_spatial,files,dc_date,dcterms_abstract
YMCA,"The YMCA was erected in 1914 for a cost of $120,000.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T18:39:25.937000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/782/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/782/orderProxies,2025-05-15T18:39:25.937000+00:00,"30.615215714236037, -96.3423395170458",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/782/pages/page_0/files/2910359174_de05dc8e85_o.jpg,,Front view of YMCA
Board of Director's House,The Board of Director's House was built in 1912 and destroyed by fire in 1979.,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:32:23.757000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/138/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/138/pages,2025-05-15T17:32:23.757000+00:00,"30.61730598371181, -96.34448131151868",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/138/pages/page_0/files/Board%20of%20Directors%20House%201.tif,,
Depots,,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:42:52.649000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/243/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/243/orderProxies,2025-05-15T17:42:52.649000+00:00,"30.612659035574385, -96.34390597116455",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/243/pages/page_0/files/Depot%204%20(17).tif,,
Faculty Housing,"Faculty Housing was originally built in September of 1876, starting with 5 professor residents for a cost of  $3,000 each.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:47:05.495000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/285/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/285/pages,2025-05-15T17:47:05.495000+00:00,"30.61394739653343, -96.3393704231487",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/285/pages/page_0/files/Copy%20of%20Faculty%20Housing%202.tif,Pre 1923,Faculty Housing with guy in window reading
Guion Hall,"Guion Hall was built in 1918 for a cost of $115,000 and razed 1971.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:56:02.780000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/372/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/372/pages,2025-05-15T17:56:02.780000+00:00,"30.6134849454031, -96.34022700399792",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/372/pages/page_0/files/2822107737_757f82a6c4_o.jpg,circa 1970,Guion falling apart
Cotton Research Lab,,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:41:08.197000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/224/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/224/pages,2025-05-15T17:41:08.197000+00:00,,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/224/pages/page_0/files/Cotton%20Research%20Lab%201.tif,,
Henderson Hall,"Henderson Hall was built in 1958 for a cost of $22,185.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:58:31.005000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/397/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/397/pages,2025-05-15T17:58:31.005000+00:00,"30.615031200201106, -96.34451252883603",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/397/pages/page_0/files/Henderson%205.tif,,
Faculty Housing,"Faculty Housing was originally built in September of 1876, starting with 5 professor residents for a cost of  $3,000 each.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:48:08.438000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/295/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/295/pages,2025-05-15T17:48:08.438000+00:00,"30.61394739653343, -96.3393704231487",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/295/pages/page_0/files/Faculty%20Housing%2014.tif,,
Bolton Hall,"Bolton Hall, formerly known as the Electrical Engineering Building, was erected in 1912. This building cost $75,000. Bolton Hall still stands today.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:33:01.307000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/144/pages|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/144/orderProxies,2025-05-15T17:33:01.307000+00:00,"30.616335623314793, -96.34164684735612",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/144/pages/page_0/files/Bolton%20Hall%202.tif,,
Chemistry and Veterinary Science Building,"The Chemistry and Veterinary Science Building was built in 1902 and razed in 1929. This building cost $31,000 and stood where Cushing Memorial Library is now. There is a plaque dedication to this building in the lawn in front of Cushing Memorial Library.",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects,2025-05-15T17:37:03.174000+00:00,fedoraAdmin,false,fedoraAdmin,https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/186/orderProxies|https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/186/pages,2025-05-15T17:37:03.174000+00:00,"30.616082164559465, -96.34027231806671",https://api-pre.library.tamu.edu/fcrepo/rest/bb/97/f2/3e/bb97f23e-803a-4bd6-8406-06802623554c/audrey-import_objects/186/pages/page_0/files/Chemical%20and%20Veterinary%20Building%2014.tif,,
